Position: ( 3.494E+0  7.500E-1 -3.460E+1)
Position: ( 3.980E+0  7.448E-1 -3.421E+1)
Position: ( 4.458E+0  7.279E-1 -3.382E+1)
Position: ( 4.458E+0  7.279E-1 -3.382E+1)
Position: ( 4.458E+0  7.279E-1 -3.382E+1)
Position: ( 4.458E+0  7.279E-1 -3.382E+1)
Position: ( 4.458E+0  7.279E-1 -3.382E+1)
Position: ( 4.458E+0  7.279E-1 -3.382E+1)
Position: ( 4.458E+0  7.279E-1 -3.382E+1)
Position: ( 4.458E+0  7.279E-1 -3.382E+1)
Position: ( 4.458E+0  7.279E-1 -3.382E+1)
Position: ( 4.928E+0  7.399E-1 -3.343E+1)
Position: ( 5.388E+0  7.469E-1 -3.306E+1)
Position: ( 5.837E+0  7.570E-1 -3.269E+1)
Position: ( 6.275E+0  7.815E-1 -3.232E+1)
Position: ( 6.702E+0  7.968E-1 -3.196E+1)
Position: ( 7.118E+0  8.093E-1 -3.161E+1)
Position: ( 7.524E+0  8.258E-1 -3.127E+1)
Position: ( 7.920E+0  8.368E-1 -3.093E+1)
Position: ( 7.920E+0  8.368E-1 -3.093E+1)
Position: ( 8.307E+0  8.228E-1 -3.060E+1)
Position: ( 8.687E+0  8.396E-1 -3.027E+1)
Position: ( 9.051E+0  8.565E-1 -2.995E+1)
Position: ( 9.402E+0  8.895E-1 -2.964E+1)
Position: ( 9.741E+0  9.067E-1 -2.933E+1)
Position: ( 1.007E+1  9.116E-1 -2.903E+1)
Position: ( 1.040E+1  9.101E-1 -2.874E+1)
Position: ( 1.071E+1  9.019E-1 -2.845E+1)
Position: ( 1.102E+1  8.919E-1 -2.817E+1)
Position: ( 1.133E+1  8.822E-1 -2.789E+1)
Position: ( 1.162E+1  8.758E-1 -2.761E+1)
Position: ( 1.191E+1  8.745E-1 -2.735E+1)
Position: ( 1.220E+1  8.759E-1 -2.709E+1)
Position: ( 1.248E+1  8.861E-1 -2.683E+1)
Position: ( 1.274E+1  8.922E-1 -2.659E+1)
Position: ( 1.300E+1  8.879E-1 -2.635E+1)
Position: ( 1.325E+1  8.844E-1 -2.611E+1)
Position: ( 1.349E+1  8.716E-1 -2.588E+1)
Position: ( 1.372E+1  8.770E-1 -2.564E+1)
Position: ( 1.372E+1  8.770E-1 -2.564E+1)
Position: ( 1.372E+1  8.770E-1 -2.564E+1)
Position: ( 1.372E+1  8.770E-1 -2.564E+1)
Position: ( 1.372E+1  8.770E-1 -2.564E+1)
