Experiment; Time; X; Y; Z
Complete Physics Engine - Hilly Terrain - Fast z; 0.00; 0.00; 0.00; 0.00
Complete Physics Engine - Hilly Terrain - Fast z; 0.10; -0.02; -0.01; 0.99
Complete Physics Engine - Hilly Terrain - Fast z; 0.20; -0.08; 0.03; 1.97
Complete Physics Engine - Hilly Terrain - Fast z; 0.30; -0.11; 0.11; 2.92
Complete Physics Engine - Hilly Terrain - Fast z; 0.40; -0.10; 0.07; 3.85
Complete Physics Engine - Hilly Terrain - Fast z; 0.50; -0.04; -0.00; 4.77
Complete Physics Engine - Hilly Terrain - Fast z; 0.60; 0.02; 0.01; 5.68
Complete Physics Engine - Hilly Terrain - Fast z; 0.70; 0.03; 0.02; 6.57
Complete Physics Engine - Hilly Terrain - Fast z; 0.80; -0.01; -0.01; 7.45
Complete Physics Engine - Hilly Terrain - Fast z; 0.90; -0.08; 0.03; 8.31
Complete Physics Engine - Hilly Terrain - Fast z; 1.00; -0.11; 0.11; 9.14
Complete Physics Engine - Hilly Terrain - Fast z; 1.10; -0.10; 0.09; 9.96
Complete Physics Engine - Hilly Terrain - Fast z; 1.20; -0.04; 0.01; 10.76
Complete Physics Engine - Hilly Terrain - Fast z; 1.30; 0.03; 0.02; 11.56
Complete Physics Engine - Hilly Terrain - Fast z; 1.40; 0.07; 0.07; 12.33
Complete Physics Engine - Hilly Terrain - Fast z; 1.50; 0.06; 0.05; 13.08
Complete Physics Engine - Hilly Terrain - Fast z; 1.60; 0.00; 0.00; 13.83
Complete Physics Engine - Hilly Terrain - Fast z; 1.70; -0.08; 0.03; 14.55
Complete Physics Engine - Hilly Terrain - Fast z; 1.80; -0.13; 0.11; 15.25
Complete Physics Engine - Hilly Terrain - Fast z; 1.90; -0.13; 0.12; 15.94
Complete Physics Engine - Hilly Terrain - Fast z; 2.00; -0.08; 0.05; 16.61
Complete Physics Engine - Hilly Terrain - Fast z; 2.10; 0.01; -0.00; 17.27
Complete Physics Engine - Hilly Terrain - Fast z; 2.20; 0.10; 0.06; 17.90
Complete Physics Engine - Hilly Terrain - Fast z; 2.30; 0.14; 0.13; 18.52
Complete Physics Engine - Hilly Terrain - Fast z; 2.40; 0.14; 0.13; 19.12
Complete Physics Engine - Hilly Terrain - Fast z; 2.50; 0.08; 0.05; 19.71
Complete Physics Engine - Hilly Terrain - Fast z; 2.60; -0.01; -0.00; 20.28
Complete Physics Engine - Hilly Terrain - Fast z; 2.70; -0.11; 0.04; 20.84
Complete Physics Engine - Hilly Terrain - Fast z; 2.80; -0.18; 0.14; 21.37
Complete Physics Engine - Hilly Terrain - Fast z; 2.90; -0.20; 0.19; 21.87
Complete Physics Engine - Hilly Terrain - Fast z; 3.00; -0.17; 0.16; 22.37
Complete Physics Engine - Hilly Terrain - Fast z; 3.10; -0.09; 0.06; 22.85
Complete Physics Engine - Hilly Terrain - Fast z; 3.20; 0.02; -0.01; 23.32
Complete Physics Engine - Hilly Terrain - Fast z; 3.30; 0.15; 0.03; 23.77
Complete Physics Engine - Hilly Terrain - Fast z; 3.40; 0.26; 0.15; 24.19
Complete Physics Engine - Hilly Terrain - Fast z; 3.50; 0.33; 0.28; 24.58
Complete Physics Engine - Hilly Terrain - Fast z; 3.60; 0.35; 0.34; 24.95
Complete Physics Engine - Hilly Terrain - Fast z; 3.70; 0.32; 0.31; 25.32
Complete Physics Engine - Hilly Terrain - Fast z; 3.80; 0.25; 0.21; 25.68
Complete Physics Engine - Hilly Terrain - Fast z; 3.90; 0.12; 0.08; 26.05
Complete Physics Engine - Hilly Terrain - Fast z; 4.00; -0.03; -0.01; 26.40
