Experiment; Time; X; Y; Z
Simple Physics Engine - Hilly Terrain - Diagonal; 0.00; 0.00; 0.00; 0.00
Simple Physics Engine - Hilly Terrain - Diagonal; 0.10; 0.45; 0.38; 0.50
Simple Physics Engine - Hilly Terrain - Diagonal; 0.20; 0.82; 0.39; 1.01
Simple Physics Engine - Hilly Terrain - Diagonal; 0.30; 1.14; -0.01; 1.58
Simple Physics Engine - Hilly Terrain - Diagonal; 0.40; 1.46; -0.60; 2.22
Simple Physics Engine - Hilly Terrain - Diagonal; 0.50; 1.78; -0.95; 2.91
Simple Physics Engine - Hilly Terrain - Diagonal; 0.60; 2.06; -0.79; 3.61
Simple Physics Engine - Hilly Terrain - Diagonal; 0.70; 2.30; -0.33; 4.25
Simple Physics Engine - Hilly Terrain - Diagonal; 0.80; 2.51; 0.06; 4.82
Simple Physics Engine - Hilly Terrain - Diagonal; 0.90; 2.72; 0.23; 5.30
Simple Physics Engine - Hilly Terrain - Diagonal; 1.00; 2.97; 0.15; 5.75
Simple Physics Engine - Hilly Terrain - Diagonal; 1.10; 3.30; -0.15; 6.17
Simple Physics Engine - Hilly Terrain - Diagonal; 1.20; 3.70; -0.51; 6.58
Simple Physics Engine - Hilly Terrain - Diagonal; 1.30; 4.17; -0.67; 6.95
Simple Physics Engine - Hilly Terrain - Diagonal; 1.40; 4.66; -0.55; 7.27
Simple Physics Engine - Hilly Terrain - Diagonal; 1.50; 5.15; -0.32; 7.49
Simple Physics Engine - Hilly Terrain - Diagonal; 1.60; 5.59; -0.14; 7.63
Simple Physics Engine - Hilly Terrain - Diagonal; 1.70; 6.01; -0.04; 7.70
Simple Physics Engine - Hilly Terrain - Diagonal; 1.80; 6.39; 0.01; 7.75
Simple Physics Engine - Hilly Terrain - Diagonal; 1.90; 6.74; 0.03; 7.80
Simple Physics Engine - Hilly Terrain - Diagonal; 2.00; 7.06; -0.02; 7.88
Simple Physics Engine - Hilly Terrain - Diagonal; 2.10; 7.37; -0.16; 8.03
Simple Physics Engine - Hilly Terrain - Diagonal; 2.20; 7.67; -0.39; 8.26
Simple Physics Engine - Hilly Terrain - Diagonal; 2.30; 7.96; -0.64; 8.56
Simple Physics Engine - Hilly Terrain - Diagonal; 2.40; 8.23; -0.81; 8.91
Simple Physics Engine - Hilly Terrain - Diagonal; 2.50; 8.46; -0.82; 9.30
Simple Physics Engine - Hilly Terrain - Diagonal; 2.60; 8.62; -0.69; 9.68
Simple Physics Engine - Hilly Terrain - Diagonal; 2.70; 8.72; -0.54; 10.02
Simple Physics Engine - Hilly Terrain - Diagonal; 2.80; 8.75; -0.40; 10.31
Simple Physics Engine - Hilly Terrain - Diagonal; 2.90; 8.73; -0.29; 10.53
Simple Physics Engine - Hilly Terrain - Diagonal; 3.00; 8.68; -0.21; 10.68
Simple Physics Engine - Hilly Terrain - Diagonal; 3.10; 8.62; -0.18; 10.74
Simple Physics Engine - Hilly Terrain - Diagonal; 3.20; 8.55; -0.20; 10.73
Simple Physics Engine - Hilly Terrain - Diagonal; 3.30; 8.49; -0.26; 10.66
Simple Physics Engine - Hilly Terrain - Diagonal; 3.40; 8.42; -0.38; 10.53
Simple Physics Engine - Hilly Terrain - Diagonal; 3.50; 8.33; -0.54; 10.35
Simple Physics Engine - Hilly Terrain - Diagonal; 3.60; 8.23; -0.72; 10.11
Simple Physics Engine - Hilly Terrain - Diagonal; 3.70; 8.10; -0.89; 9.83
Simple Physics Engine - Hilly Terrain - Diagonal; 3.80; 7.96; -0.99; 9.54
Simple Physics Engine - Hilly Terrain - Diagonal; 3.90; 7.82; -0.98; 9.25
Simple Physics Engine - Hilly Terrain - Diagonal; 4.00; 7.70; -0.90; 8.99
Simple Physics Engine - Hilly Terrain - Diagonal; 4.10; 7.59; -0.78; 8.80
Simple Physics Engine - Hilly Terrain - Diagonal; 4.20; 7.51; -0.69; 8.67
Simple Physics Engine - Hilly Terrain - Diagonal; 4.30; 7.47; -0.65; 8.63
Simple Physics Engine - Hilly Terrain - Diagonal; 4.40; 7.47; -0.66; 8.65
Simple Physics Engine - Hilly Terrain - Diagonal; 4.50; 7.49; -0.71; 8.71
Simple Physics Engine - Hilly Terrain - Diagonal; 4.60; 7.53; -0.78; 8.82
Simple Physics Engine - Hilly Terrain - Diagonal; 4.70; 7.59; -0.86; 8.96
Simple Physics Engine - Hilly Terrain - Diagonal; 4.80; 7.66; -0.94; 9.12
Simple Physics Engine - Hilly Terrain - Diagonal; 4.90; 7.75; -0.99; 9.30
Simple Physics Engine - Hilly Terrain - Diagonal; 5.00; 7.83; -1.00; 9.47
Simple Physics Engine - Hilly Terrain - Diagonal; 5.10; 7.91; -0.98; 9.62
Simple Physics Engine - Hilly Terrain - Diagonal; 5.20; 7.97; -0.95; 9.73
Simple Physics Engine - Hilly Terrain - Diagonal; 5.30; 8.01; -0.92; 9.80
Simple Physics Engine - Hilly Terrain - Diagonal; 5.40; 8.03; -0.91; 9.81
Simple Physics Engine - Hilly Terrain - Diagonal; 5.50; 8.03; -0.92; 9.80
Simple Physics Engine - Hilly Terrain - Diagonal; 5.60; 8.01; -0.93; 9.76
Simple Physics Engine - Hilly Terrain - Diagonal; 5.70; 7.99; -0.95; 9.72
Simple Physics Engine - Hilly Terrain - Diagonal; 5.80; 7.97; -0.97; 9.66
Simple Physics Engine - Hilly Terrain - Diagonal; 5.90; 7.94; -0.98; 9.60
Simple Physics Engine - Hilly Terrain - Diagonal; 6.00; 7.91; -0.99; 9.53
