Experiment; Time; X; Y; Z
Simple Physics Engine - Hilly Terrain - Fast z; 0.00; 0.00; 0.00; 0.00
Simple Physics Engine - Hilly Terrain - Fast z; 0.10; -0.04; -0.02; 0.99
Simple Physics Engine - Hilly Terrain - Fast z; 0.20; -0.14; 0.05; 1.96
Simple Physics Engine - Hilly Terrain - Fast z; 0.30; -0.20; 0.19; 2.89
Simple Physics Engine - Hilly Terrain - Fast z; 0.40; -0.17; 0.13; 3.80
Simple Physics Engine - Hilly Terrain - Fast z; 0.50; -0.07; 0.00; 4.70
Simple Physics Engine - Hilly Terrain - Fast z; 0.60; 0.03; 0.02; 5.59
Simple Physics Engine - Hilly Terrain - Fast z; 0.70; 0.06; 0.05; 6.46
Simple Physics Engine - Hilly Terrain - Fast z; 0.80; -0.01; -0.00; 7.31
Simple Physics Engine - Hilly Terrain - Fast z; 0.90; -0.12; 0.03; 8.13
Simple Physics Engine - Hilly Terrain - Fast z; 1.00; -0.20; 0.18; 8.93
Simple Physics Engine - Hilly Terrain - Fast z; 1.10; -0.21; 0.20; 9.70
Simple Physics Engine - Hilly Terrain - Fast z; 1.20; -0.12; 0.06; 10.47
Simple Physics Engine - Hilly Terrain - Fast z; 1.30; 0.01; 0.00; 11.22
Simple Physics Engine - Hilly Terrain - Fast z; 1.40; 0.11; 0.09; 11.95
Simple Physics Engine - Hilly Terrain - Fast z; 1.50; 0.14; 0.14; 12.66
Simple Physics Engine - Hilly Terrain - Fast z; 1.60; 0.07; 0.05; 13.35
Simple Physics Engine - Hilly Terrain - Fast z; 1.70; -0.05; -0.01; 14.02
Simple Physics Engine - Hilly Terrain - Fast z; 1.80; -0.19; 0.10; 14.67
Simple Physics Engine - Hilly Terrain - Fast z; 1.90; -0.28; 0.25; 15.28
Simple Physics Engine - Hilly Terrain - Fast z; 2.00; -0.28; 0.27; 15.87
Simple Physics Engine - Hilly Terrain - Fast z; 2.10; -0.19; 0.14; 16.46
Simple Physics Engine - Hilly Terrain - Fast z; 2.20; -0.04; 0.01; 17.05
Simple Physics Engine - Hilly Terrain - Fast z; 2.30; 0.13; 0.04; 17.62
