Experiment; Time; X; Y; Z
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.00; 0.00; 0.00; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.10; 0.53; 5.04; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.20; 0.18; 1.82; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.30; -1.07; -8.77; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.40; -2.65; -4.75; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.50; -3.49; 3.38; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.60; -3.39; 2.47; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.70; -2.37; -6.96; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.80; -0.82; -7.31; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 0.90; 0.18; 1.76; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.00; 0.21; 2.07; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.10; -0.70; -6.47; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.20; -2.20; -8.09; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.30; -3.21; 0.72; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.40; -3.26; 1.18; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.50; -2.35; -7.08; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.60; -0.91; -7.90; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.70; 0.02; 0.25; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.80; -0.01; -0.07; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 1.90; -0.97; -8.25; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.00; -2.35; -7.09; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.10; -3.14; -0.04; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.20; -2.95; -1.93; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.30; -1.87; -9.55; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.40; -0.59; -5.57; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.50; -0.05; -0.47; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.60; -0.47; -4.57; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.70; -1.66; -9.96; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.80; -2.75; -3.79; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 2.90; -2.98; -1.58; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.00; -2.28; -7.60; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.10; -1.06; -8.70; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.20; -0.26; -2.59; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.30; -0.38; -3.75; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.40; -1.34; -9.73; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.50; -2.45; -6.39; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.60; -2.87; -2.70; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.70; -2.38; -6.91; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.80; -1.29; -9.61; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast x; 3.90; -0.45; -4.36; 0.00
