Experiment; Time; X; Y; Z
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.00; 0.00; 0.00; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.10; -0.29; -2.83; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.20; -1.42; -9.89; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.30; -2.65; -4.75; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.40; -3.08; -0.65; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.50; -2.55; -5.59; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.60; -1.33; -9.71; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.70; -0.32; -3.18; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.80; -0.21; -2.12; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 0.90; -1.02; -8.52; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.00; -2.23; -7.92; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.10; -2.90; -2.36; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.20; -2.65; -4.73; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.30; -1.62; -9.99; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.40; -0.58; -5.51; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.50; -0.31; -3.03; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.60; -0.93; -7.99; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.70; -2.03; -8.97; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.80; -2.74; -3.93; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 1.90; -2.58; -5.31; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.00; -1.68; -9.94; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.10; -0.71; -6.55; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.20; -0.44; -4.27; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.30; -1.01; -8.46; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.40; -2.00; -9.07; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.50; -2.62; -4.96; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.60; -2.43; -6.55; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.70; -1.58; -10.00; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.80; -0.75; -6.79; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 2.90; -0.60; -5.62; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.00; -1.20; -9.33; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.10; -2.09; -8.68; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.20; -2.52; -5.79; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.30; -2.20; -8.10; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.40; -1.38; -9.81; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.50; -0.75; -6.79; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.60; -0.79; -7.10; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.70; -1.45; -9.93; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.80; -2.19; -8.15; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 3.90; -2.39; -6.83; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.00; -1.93; -9.37; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.10; -1.19; -9.28; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.20; -0.80; -7.14; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.30; -1.05; -8.67; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.40; -1.72; -9.89; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.50; -2.24; -7.84; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.60; -2.19; -8.14; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.70; -1.64; -9.98; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.80; -1.05; -8.68; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 4.90; -0.93; -8.01; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.00; -1.34; -9.74; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.10; -1.93; -9.36; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.20; -2.19; -8.17; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.30; -1.92; -9.39; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.40; -1.38; -9.81; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.50; -1.02; -8.54; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.60; -1.15; -9.11; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.70; -1.62; -9.99; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.80; -2.02; -8.99; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 5.90; -2.02; -8.99; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.00; -1.65; -9.97; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.10; -1.22; -9.41; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.20; -1.13; -9.03; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.30; -1.41; -9.87; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.40; -1.81; -9.71; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.50; -1.98; -9.16; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.60; -1.80; -9.74; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.70; -1.43; -9.91; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.80; -1.21; -9.36; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 6.90; -1.31; -9.66; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.00; -1.62; -9.99; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.10; -1.86; -9.58; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.20; -1.84; -9.63; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.30; -1.60; -10.00; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.40; -1.35; -9.76; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.50; -1.32; -9.68; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.60; -1.50; -9.97; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.70; -1.73; -9.88; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.80; -1.79; -9.75; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 7.90; -1.67; -9.95; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.00; -1.48; -9.96; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.10; -1.39; -9.83; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.20; -1.47; -9.94; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.30; -1.62; -9.99; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.40; -1.71; -9.91; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.50; -1.67; -9.95; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.60; -1.56; -10.00; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.70; -1.48; -9.96; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.80; -1.49; -9.97; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 8.90; -1.56; -10.00; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 9.00; -1.62; -9.99; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 9.10; -1.63; -9.98; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 9.20; -1.59; -10.00; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 9.30; -1.55; -10.00; 0.00
Simple Physics Engine - Steep Hilly Terrain - Slow x; 9.40; -1.54; -10.00; 0.00
