Experiment; Time; X; Y; Z
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,00; 0,00; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,10; 1,00; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,20; 1,98; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,30; 2,96; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,40; 3,94; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,50; 4,90; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,60; 5,86; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,70; 6,81; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,80; 7,75; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 0,90; 8,68; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,00; 9,61; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,10; 10,53; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,20; 11,43; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,30; 12,34; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,40; 13,23; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,50; 14,12; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,60; 15,00; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,70; 15,87; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,80; 16,73; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 1,90; 17,58; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,00; 18,43; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,10; 19,27; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,20; 20,10; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,30; 20,92; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,40; 21,74; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,50; 22,55; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,60; 23,35; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,70; 24,14; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,80; 24,92; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 2,90; 25,70; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,00; 26,47; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,10; 27,23; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,20; 27,98; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,30; 28,73; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,40; 29,46; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,50; 30,19; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,60; 30,91; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,70; 31,63; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,80; 32,33; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 3,90; 33,03; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,00; 33,72; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,10; 34,40; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,20; 35,08; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,30; 35,74; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,40; 36,40; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,50; 37,05; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,60; 37,70; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,70; 38,33; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,80; 38,96; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 4,90; 39,58; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,00; 40,19; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,10; 40,79; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,20; 41,39; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,30; 41,98; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,40; 42,56; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,50; 43,13; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,60; 43,69; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,70; 44,25; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,80; 44,80; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 5,90; 45,34; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,00; 45,87; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,10; 46,40; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,20; 46,92; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,30; 47,43; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,40; 47,93; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,50; 48,42; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,60; 48,91; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,70; 49,39; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,80; 49,86; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 6,90; 50,32; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,00; 50,77; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,10; 51,22; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,20; 51,66; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,30; 52,09; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,40; 52,51; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,50; 52,93; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,60; 53,33; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,70; 53,73; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,80; 54,13; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 7,90; 54,51; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,00; 54,89; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,10; 55,25; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,20; 55,62; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,30; 55,97; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,40; 56,31; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,50; 56,65; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,60; 56,98; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,70; 57,30; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,80; 57,61; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 8,90; 57,92; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,00; 58,22; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,10; 58,51; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,20; 58,79; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,30; 59,06; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,40; 59,33; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,50; 59,59; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,60; 59,84; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,70; 60,08; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,80; 60,31; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 9,90; 60,54; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,00; 60,76; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,10; 60,97; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,20; 61,17; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,30; 61,37; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,40; 61,56; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,50; 61,74; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,60; 61,91; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,70; 62,07; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,80; 62,23; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 10,90; 62,38; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,00; 62,52; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,10; 62,65; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,20; 62,78; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,30; 62,89; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,40; 63,00; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,50; 63,11; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,60; 63,20; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,70; 63,28; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,80; 63,36; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 11,90; 63,43; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 12,00; 63,49; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 12,10; 63,55; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 12,20; 63,60; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 12,30; 63,63; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 12,40; 63,66; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 12,50; 63,69; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 12,60; 63,70; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast x; 12,70; 63,71; 0,30; 0,00
