Experiment; Time; X; Y; Z
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,00; 0,00; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,10; 0,00; 0,30; 1,00
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,20; 0,00; 0,30; 1,98
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,30; 0,00; 0,30; 2,96
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,40; 0,00; 0,30; 2,96
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,50; 0,00; 0,30; 3,94
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,60; 0,00; 0,30; 4,90
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,70; 0,00; 0,30; 5,86
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,80; 0,00; 0,30; 6,81
Complete Physics Engine - Flat Grass Terrain - Fast z; 0,90; 0,00; 0,30; 7,75
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,00; 0,00; 0,30; 8,68
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,10; 0,00; 0,30; 9,61
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,20; 0,00; 0,30; 10,53
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,30; 0,00; 0,30; 10,53
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,40; 0,00; 0,30; 11,43
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,50; 0,00; 0,30; 12,34
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,60; 0,00; 0,30; 13,23
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,70; 0,00; 0,30; 14,12
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,80; 0,00; 0,30; 15,00
Complete Physics Engine - Flat Grass Terrain - Fast z; 1,90; 0,00; 0,30; 15,87
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,00; 0,00; 0,30; 16,73
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,10; 0,00; 0,30; 17,58
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,20; 0,00; 0,30; 18,43
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,30; 0,00; 0,30; 19,27
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,40; 0,00; 0,30; 20,10
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,50; 0,00; 0,30; 20,92
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,60; 0,00; 0,30; 21,74
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,70; 0,00; 0,30; 22,55
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,80; 0,00; 0,30; 23,35
Complete Physics Engine - Flat Grass Terrain - Fast z; 2,90; 0,00; 0,30; 24,14
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,00; 0,00; 0,30; 24,92
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,10; 0,00; 0,30; 25,70
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,20; 0,00; 0,30; 26,47
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,30; 0,00; 0,30; 26,47
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,40; 0,00; 0,30; 27,23
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,50; 0,00; 0,30; 27,98
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,60; 0,00; 0,30; 28,73
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,70; 0,00; 0,30; 29,46
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,80; 0,00; 0,30; 30,19
Complete Physics Engine - Flat Grass Terrain - Fast z; 3,90; 0,00; 0,30; 30,91
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,00; 0,00; 0,30; 31,63
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,10; 0,00; 0,30; 32,33
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,20; 0,00; 0,30; 33,03
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,30; 0,00; 0,30; 33,72
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,40; 0,00; 0,30; 34,40
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,50; 0,00; 0,30; 35,08
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,60; 0,00; 0,30; 35,74
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,70; 0,00; 0,30; 36,40
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,80; 0,00; 0,30; 37,05
Complete Physics Engine - Flat Grass Terrain - Fast z; 4,90; 0,00; 0,30; 37,70
Complete Physics Engine - Flat Grass Terrain - Fast z; 5,00; 0,00; 0,30; 38,33
