Experiment; Time; X; Y; Z
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,10; -0,00; -0,00; 0,99
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,20; -0,01; 0,00; 1,96
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,30; -0,02; 0,00; 2,91
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,40; -0,02; 0,00; 3,84
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,50; -0,01; -0,00; 4,75
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,60; 0,00; 0,00; 5,65
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,70; 0,01; 0,00; 6,52
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,80; -0,00; -0,00; 7,37
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 0,90; -0,01; 0,00; 8,21
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,00; -0,02; 0,00; 9,02
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,10; -0,02; 0,00; 9,81
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,20; -0,01; 0,00; 10,59
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,30; 0,00; 0,00; 11,34
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,40; 0,01; 0,00; 12,08
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,50; 0,01; 0,00; 12,80
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,60; 0,00; 0,00; 13,49
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,70; -0,01; 0,00; 14,17
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,80; -0,02; 0,00; 14,83
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 1,90; -0,03; 0,00; 15,46
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,00; -0,02; 0,00; 16,08
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,10; -0,01; 0,00; 16,68
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,20; 0,00; -0,00; 17,26
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,30; 0,02; 0,00; 17,82
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,40; 0,03; 0,00; 18,36
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,50; 0,03; 0,00; 18,88
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,60; 0,02; 0,00; 19,38
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,70; 0,01; 0,00; 19,86
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,80; -0,01; -0,00; 20,32
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 2,90; -0,03; 0,00; 20,76
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,00; -0,05; 0,00; 21,19
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,10; -0,06; 0,01; 21,59
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,20; -0,06; 0,01; 21,97
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,30; -0,05; 0,00; 22,33
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,40; -0,03; 0,00; 22,68
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,50; -0,00; 0,00; 23,00
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,60; 0,03; -0,00; 23,31
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,70; 0,05; 0,00; 23,59
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,80; 0,08; 0,00; 23,86
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 3,90; 0,10; 0,01; 24,10
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,00; 0,12; 0,01; 24,32
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,10; 0,12; 0,01; 24,53
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,20; 0,12; 0,01; 24,71
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,30; 0,11; 0,01; 24,87
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,40; 0,10; 0,01; 25,02
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,50; 0,07; 0,01; 25,14
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,60; 0,05; 0,00; 25,25
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,70; 0,01; 0,00; 25,33
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,80; -0,02; -0,00; 25,40
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 4,90; -0,05; -0,01; 25,46
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 5,00; -0,09; -0,01; 25,49
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 5,10; -0,11; -0,01; 25,51
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 5,20; -0,13; -0,01; 25,53
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 5,30; -0,14; -0,01; 25,53
Complete Physics Engine - Gentle Hilly Terrain - Fast z; 5,40; -0,14; -0,01; 25,53
