Experiment; Time; X; Y; Z
Complete Physics Engine - Hilly Terrain - Diagonal; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Hilly Terrain - Diagonal; 0,10; 0,47; 0,40; 0,50
Complete Physics Engine - Hilly Terrain - Diagonal; 0,20; 0,90; 0,42; 1,01
Complete Physics Engine - Hilly Terrain - Diagonal; 0,30; 1,30; 0,02; 1,55
Complete Physics Engine - Hilly Terrain - Diagonal; 0,40; 1,30; 0,02; 1,55
Complete Physics Engine - Hilly Terrain - Diagonal; 0,50; 1,69; -0,53; 2,14
Complete Physics Engine - Hilly Terrain - Diagonal; 0,60; 2,07; -0,81; 2,76
Complete Physics Engine - Hilly Terrain - Diagonal; 0,70; 2,41; -0,65; 3,39
Complete Physics Engine - Hilly Terrain - Diagonal; 0,80; 2,70; -0,28; 4,00
Complete Physics Engine - Hilly Terrain - Diagonal; 0,90; 2,94; -0,03; 4,57
Complete Physics Engine - Hilly Terrain - Diagonal; 1,00; 3,17; -0,01; 5,11
Complete Physics Engine - Hilly Terrain - Diagonal; 1,10; 3,42; -0,22; 5,64
Complete Physics Engine - Hilly Terrain - Diagonal; 1,20; 3,71; -0,53; 6,16
Complete Physics Engine - Hilly Terrain - Diagonal; 1,30; 3,71; -0,53; 6,16
Complete Physics Engine - Hilly Terrain - Diagonal; 1,40; 4,04; -0,72; 6,68
Complete Physics Engine - Hilly Terrain - Diagonal; 1,50; 4,40; -0,61; 7,15
Complete Physics Engine - Hilly Terrain - Diagonal; 1,60; 4,76; -0,27; 7,58
Complete Physics Engine - Hilly Terrain - Diagonal; 1,70; 5,12; 0,08; 7,95
Complete Physics Engine - Hilly Terrain - Diagonal; 1,80; 5,47; 0,29; 8,26
Complete Physics Engine - Hilly Terrain - Diagonal; 1,90; 5,83; 0,27; 8,52
Complete Physics Engine - Hilly Terrain - Diagonal; 2,00; 6,23; 0,04; 8,76
Complete Physics Engine - Hilly Terrain - Diagonal; 2,10; 6,66; -0,33; 8,99
Complete Physics Engine - Hilly Terrain - Diagonal; 2,20; 7,13; -0,73; 9,22
Complete Physics Engine - Hilly Terrain - Diagonal; 2,30; 7,62; -0,97; 9,46
Complete Physics Engine - Hilly Terrain - Diagonal; 2,40; 8,12; -0,93; 9,68
Complete Physics Engine - Hilly Terrain - Diagonal; 2,50; 8,59; -0,67; 9,88
Complete Physics Engine - Hilly Terrain - Diagonal; 2,60; 9,00; -0,34; 10,05
Complete Physics Engine - Hilly Terrain - Diagonal; 2,70; 9,36; -0,05; 10,20
Complete Physics Engine - Hilly Terrain - Diagonal; 2,80; 9,65; 0,14; 10,34
Complete Physics Engine - Hilly Terrain - Diagonal; 2,90; 9,90; 0,22; 10,49
Complete Physics Engine - Hilly Terrain - Diagonal; 3,00; 10,10; 0,21; 10,66
Complete Physics Engine - Hilly Terrain - Diagonal; 3,10; 10,28; 0,10; 10,87
Complete Physics Engine - Hilly Terrain - Diagonal; 3,20; 10,44; -0,09; 11,11
Complete Physics Engine - Hilly Terrain - Diagonal; 3,30; 10,44; -0,09; 11,11
Complete Physics Engine - Hilly Terrain - Diagonal; 3,40; 10,61; -0,35; 11,39
Complete Physics Engine - Hilly Terrain - Diagonal; 3,50; 10,77; -0,63; 11,70
Complete Physics Engine - Hilly Terrain - Diagonal; 3,60; 10,94; -0,87; 12,05
Complete Physics Engine - Hilly Terrain - Diagonal; 3,70; 11,10; -0,98; 12,43
