Experiment; Time; X; Y; Z
Complete Physics Engine - Sandy Terrain - Diagonal; 0.00; 0.00; 0.10; 0.00
Complete Physics Engine - Sandy Terrain - Diagonal; 0.10; 0.49; 0.10; 0.49
Complete Physics Engine - Sandy Terrain - Diagonal; 0.20; 0.97; 0.10; 0.97
Complete Physics Engine - Sandy Terrain - Diagonal; 0.30; 1.44; 0.10; 1.44
Complete Physics Engine - Sandy Terrain - Diagonal; 0.40; 1.89; 0.10; 1.89
Complete Physics Engine - Sandy Terrain - Diagonal; 0.50; 2.33; 0.10; 2.33
Complete Physics Engine - Sandy Terrain - Diagonal; 0.60; 2.75; 0.10; 2.75
Complete Physics Engine - Sandy Terrain - Diagonal; 0.70; 3.16; 0.10; 3.16
Complete Physics Engine - Sandy Terrain - Diagonal; 0.80; 3.56; 0.10; 3.56
Complete Physics Engine - Sandy Terrain - Diagonal; 0.90; 3.94; 0.10; 3.94
Complete Physics Engine - Sandy Terrain - Diagonal; 1.00; 4.31; 0.10; 4.31
Complete Physics Engine - Sandy Terrain - Diagonal; 1.10; 4.66; 0.10; 4.66
Complete Physics Engine - Sandy Terrain - Diagonal; 1.20; 5.00; 0.10; 5.00
Complete Physics Engine - Sandy Terrain - Diagonal; 1.30; 5.33; 0.10; 5.33
Complete Physics Engine - Sandy Terrain - Diagonal; 1.40; 5.64; 0.10; 5.64
Complete Physics Engine - Sandy Terrain - Diagonal; 1.50; 5.94; 0.10; 5.94
Complete Physics Engine - Sandy Terrain - Diagonal; 1.60; 6.22; 0.10; 6.22
Complete Physics Engine - Sandy Terrain - Diagonal; 1.70; 6.50; 0.10; 6.50
Complete Physics Engine - Sandy Terrain - Diagonal; 1.80; 6.75; 0.10; 6.75
Complete Physics Engine - Sandy Terrain - Diagonal; 1.90; 7.00; 0.10; 7.00
Complete Physics Engine - Sandy Terrain - Diagonal; 2.00; 7.23; 0.10; 7.23
Complete Physics Engine - Sandy Terrain - Diagonal; 2.10; 7.44; 0.10; 7.44
Complete Physics Engine - Sandy Terrain - Diagonal; 2.20; 7.64; 0.10; 7.64
Complete Physics Engine - Sandy Terrain - Diagonal; 2.30; 7.83; 0.10; 7.83
Complete Physics Engine - Sandy Terrain - Diagonal; 2.40; 8.00; 0.10; 8.00
Complete Physics Engine - Sandy Terrain - Diagonal; 2.50; 8.16; 0.10; 8.16
Complete Physics Engine - Sandy Terrain - Diagonal; 2.60; 8.31; 0.10; 8.31
Complete Physics Engine - Sandy Terrain - Diagonal; 2.70; 8.44; 0.10; 8.44
Complete Physics Engine - Sandy Terrain - Diagonal; 2.80; 8.56; 0.10; 8.56
Complete Physics Engine - Sandy Terrain - Diagonal; 2.90; 8.67; 0.10; 8.67
Complete Physics Engine - Sandy Terrain - Diagonal; 3.00; 8.76; 0.10; 8.76
Complete Physics Engine - Sandy Terrain - Diagonal; 3.10; 8.83; 0.10; 8.83
Complete Physics Engine - Sandy Terrain - Diagonal; 3.20; 8.90; 0.10; 8.90
Complete Physics Engine - Sandy Terrain - Diagonal; 3.30; 8.95; 0.10; 8.95
Complete Physics Engine - Sandy Terrain - Diagonal; 3.40; 8.98; 0.10; 8.98
Complete Physics Engine - Sandy Terrain - Diagonal; 3.50; 9.00; 0.10; 9.00
Complete Physics Engine - Sandy Terrain - Diagonal; 3.60; 9.01; 0.10; 9.01
