Experiment; Time; X; Y; Z
Complete Physics Engine - Sandy Terrain - Fast z; 0,00; 0,00; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast z; 0,10; 0,00; 0,10; 0,99
Complete Physics Engine - Sandy Terrain - Fast z; 0,20; 0,00; 0,10; 1,96
Complete Physics Engine - Sandy Terrain - Fast z; 0,30; 0,00; 0,10; 2,91
Complete Physics Engine - Sandy Terrain - Fast z; 0,40; 0,00; 0,10; 3,84
Complete Physics Engine - Sandy Terrain - Fast z; 0,50; 0,00; 0,10; 4,75
Complete Physics Engine - Sandy Terrain - Fast z; 0,60; 0,00; 0,10; 5,65
Complete Physics Engine - Sandy Terrain - Fast z; 0,70; 0,00; 0,10; 6,52
Complete Physics Engine - Sandy Terrain - Fast z; 0,80; 0,00; 0,10; 7,37
Complete Physics Engine - Sandy Terrain - Fast z; 0,90; 0,00; 0,10; 8,21
Complete Physics Engine - Sandy Terrain - Fast z; 1,00; 0,00; 0,10; 9,02
Complete Physics Engine - Sandy Terrain - Fast z; 1,10; 0,00; 0,10; 9,81
Complete Physics Engine - Sandy Terrain - Fast z; 1,20; 0,00; 0,10; 10,59
Complete Physics Engine - Sandy Terrain - Fast z; 1,30; 0,00; 0,10; 11,34
Complete Physics Engine - Sandy Terrain - Fast z; 1,40; 0,00; 0,10; 12,08
Complete Physics Engine - Sandy Terrain - Fast z; 1,50; 0,00; 0,10; 12,79
Complete Physics Engine - Sandy Terrain - Fast z; 1,60; 0,00; 0,10; 13,49
Complete Physics Engine - Sandy Terrain - Fast z; 1,70; 0,00; 0,10; 14,16
Complete Physics Engine - Sandy Terrain - Fast z; 1,80; 0,00; 0,10; 14,82
Complete Physics Engine - Sandy Terrain - Fast z; 1,90; 0,00; 0,10; 15,46
Complete Physics Engine - Sandy Terrain - Fast z; 2,00; 0,00; 0,10; 16,08
Complete Physics Engine - Sandy Terrain - Fast z; 2,10; 0,00; 0,10; 16,67
Complete Physics Engine - Sandy Terrain - Fast z; 2,20; 0,00; 0,10; 17,25
Complete Physics Engine - Sandy Terrain - Fast z; 2,30; 0,00; 0,10; 17,81
Complete Physics Engine - Sandy Terrain - Fast z; 2,40; 0,00; 0,10; 18,35
Complete Physics Engine - Sandy Terrain - Fast z; 2,50; 0,00; 0,10; 18,87
Complete Physics Engine - Sandy Terrain - Fast z; 2,60; 0,00; 0,10; 19,37
Complete Physics Engine - Sandy Terrain - Fast z; 2,70; 0,00; 0,10; 19,85
Complete Physics Engine - Sandy Terrain - Fast z; 2,80; 0,00; 0,10; 20,31
Complete Physics Engine - Sandy Terrain - Fast z; 2,90; 0,00; 0,10; 20,75
Complete Physics Engine - Sandy Terrain - Fast z; 3,00; 0,00; 0,10; 21,17
Complete Physics Engine - Sandy Terrain - Fast z; 3,10; 0,00; 0,10; 21,57
Complete Physics Engine - Sandy Terrain - Fast z; 3,20; 0,00; 0,10; 21,95
Complete Physics Engine - Sandy Terrain - Fast z; 3,30; 0,00; 0,10; 22,32
Complete Physics Engine - Sandy Terrain - Fast z; 3,40; 0,00; 0,10; 22,66
Complete Physics Engine - Sandy Terrain - Fast z; 3,50; 0,00; 0,10; 22,98
Complete Physics Engine - Sandy Terrain - Fast z; 3,60; 0,00; 0,10; 23,29
Complete Physics Engine - Sandy Terrain - Fast z; 3,70; 0,00; 0,10; 23,57
Complete Physics Engine - Sandy Terrain - Fast z; 3,80; 0,00; 0,10; 23,83
Complete Physics Engine - Sandy Terrain - Fast z; 3,90; 0,00; 0,10; 24,08
Complete Physics Engine - Sandy Terrain - Fast z; 4,00; 0,00; 0,10; 24,30
Complete Physics Engine - Sandy Terrain - Fast z; 4,10; 0,00; 0,10; 24,51
Complete Physics Engine - Sandy Terrain - Fast z; 4,20; 0,00; 0,10; 24,70
Complete Physics Engine - Sandy Terrain - Fast z; 4,30; 0,00; 0,10; 24,86
Complete Physics Engine - Sandy Terrain - Fast z; 4,40; 0,00; 0,10; 25,01
Complete Physics Engine - Sandy Terrain - Fast z; 4,50; 0,00; 0,10; 25,13
Complete Physics Engine - Sandy Terrain - Fast z; 4,60; 0,00; 0,10; 25,24
Complete Physics Engine - Sandy Terrain - Fast z; 4,70; 0,00; 0,10; 25,33
Complete Physics Engine - Sandy Terrain - Fast z; 4,80; 0,00; 0,10; 25,40
Complete Physics Engine - Sandy Terrain - Fast z; 4,90; 0,00; 0,10; 25,45
Complete Physics Engine - Sandy Terrain - Fast z; 5,00; 0,00; 0,10; 25,47
Complete Physics Engine - Sandy Terrain - Fast z; 5,10; 0,00; 0,10; 25,48
