Experiment; Time; X; Y; Z
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,00; 0,00; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,10; 0,00; 0,30; 0,20
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,20; 0,00; 0,30; 0,38
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,30; 0,00; 0,30; 0,56
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,40; 0,00; 0,30; 0,74
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,50; 0,00; 0,30; 0,90
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,60; 0,00; 0,30; 1,06
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,70; 0,00; 0,30; 1,21
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,80; 0,00; 0,30; 1,35
Simple Physics Engine - Flat Grass Terrain - Slow z; 0,90; 0,00; 0,30; 1,48
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,00; 0,00; 0,30; 1,61
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,10; 0,00; 0,30; 1,73
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,20; 0,00; 0,30; 1,83
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,30; 0,00; 0,30; 1,94
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,40; 0,00; 0,30; 2,03
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,50; 0,00; 0,30; 2,12
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,60; 0,00; 0,30; 2,20
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,70; 0,00; 0,30; 2,27
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,80; 0,00; 0,30; 2,33
Simple Physics Engine - Flat Grass Terrain - Slow z; 1,90; 0,00; 0,30; 2,38
Simple Physics Engine - Flat Grass Terrain - Slow z; 2,00; 0,00; 0,30; 2,43
Simple Physics Engine - Flat Grass Terrain - Slow z; 2,10; 0,00; 0,30; 2,47
Simple Physics Engine - Flat Grass Terrain - Slow z; 2,20; 0,00; 0,30; 2,50
Simple Physics Engine - Flat Grass Terrain - Slow z; 2,30; 0,00; 0,30; 2,52
Simple Physics Engine - Flat Grass Terrain - Slow z; 2,40; 0,00; 0,30; 2,54
Simple Physics Engine - Flat Grass Terrain - Slow z; 2,50; 0,00; 0,30; 2,55
Simple Physics Engine - Flat Grass Terrain - Slow z; 2,60; 0,00; 0,30; 2,55
