Experiment; Time; X; Y; Z
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.00; 0.00; 0.10; 0.00
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.10; 0.00; 0.10; 0.99
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.20; 0.00; 0.10; 1.96
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.30; 0.00; 0.10; 2.91
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.40; 0.00; 0.10; 3.84
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.50; 0.00; 0.10; 4.75
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.60; 0.00; 0.10; 5.65
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.70; 0.00; 0.10; 6.52
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.80; 0.00; 0.10; 7.37
Simple Physics Engine - Flat Sandy Terrain - Fast z; 0.90; 0.00; 0.10; 8.21
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.00; 0.00; 0.10; 9.02
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.10; 0.00; 0.10; 9.81
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.20; 0.00; 0.10; 10.59
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.30; 0.00; 0.10; 11.34
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.40; 0.00; 0.10; 12.08
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.50; 0.00; 0.10; 12.79
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.60; 0.00; 0.10; 13.49
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.70; 0.00; 0.10; 14.16
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.80; 0.00; 0.10; 14.82
Simple Physics Engine - Flat Sandy Terrain - Fast z; 1.90; 0.00; 0.10; 15.46
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.00; 0.00; 0.10; 16.08
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.10; 0.00; 0.10; 16.67
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.20; 0.00; 0.10; 17.25
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.30; 0.00; 0.10; 17.81
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.40; 0.00; 0.10; 18.35
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.50; 0.00; 0.10; 18.87
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.60; 0.00; 0.10; 19.37
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.70; 0.00; 0.10; 19.85
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.80; 0.00; 0.10; 20.31
Simple Physics Engine - Flat Sandy Terrain - Fast z; 2.90; 0.00; 0.10; 20.75
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.00; 0.00; 0.10; 21.17
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.10; 0.00; 0.10; 21.57
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.20; 0.00; 0.10; 21.95
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.30; 0.00; 0.10; 22.32
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.40; 0.00; 0.10; 22.66
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.50; 0.00; 0.10; 22.98
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.60; 0.00; 0.10; 23.29
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.70; 0.00; 0.10; 23.57
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.80; 0.00; 0.10; 23.83
Simple Physics Engine - Flat Sandy Terrain - Fast z; 3.90; 0.00; 0.10; 24.08
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.00; 0.00; 0.10; 24.30
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.10; 0.00; 0.10; 24.51
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.20; 0.00; 0.10; 24.70
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.30; 0.00; 0.10; 24.86
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.40; 0.00; 0.10; 25.01
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.50; 0.00; 0.10; 25.13
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.60; 0.00; 0.10; 25.24
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.70; 0.00; 0.10; 25.33
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.80; 0.00; 0.10; 25.40
Simple Physics Engine - Flat Sandy Terrain - Fast z; 4.90; 0.00; 0.10; 25.45
Simple Physics Engine - Flat Sandy Terrain - Fast z; 5.00; 0.00; 0.10; 25.47
Simple Physics Engine - Flat Sandy Terrain - Fast z; 5.10; 0.00; 0.10; 25.48
