Experiment; Time; X; Y; Z
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,00; 0,00; 0,00; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,10; 0,49; 0,04; 0,49
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,20; 0,96; 0,05; 0,97
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,30; 1,41; 0,01; 1,45
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,40; 1,84; -0,03; 1,92
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,50; 2,26; -0,06; 2,38
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,60; 2,67; -0,04; 2,83
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,70; 3,05; -0,01; 3,28
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,80; 3,41; 0,02; 3,70
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 0,90; 3,75; 0,03; 4,11
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,00; 4,08; 0,02; 4,52
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,10; 4,39; -0,02; 4,91
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,20; 4,69; -0,06; 5,30
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,30; 4,97; -0,08; 5,68
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,40; 5,24; -0,08; 6,05
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,50; 5,50; -0,07; 6,40
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,60; 5,74; -0,05; 6,74
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,70; 5,96; -0,02; 7,06
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,80; 6,16; -0,01; 7,36
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 1,90; 6,35; 0,00; 7,65
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,00; 6,52; -0,00; 7,92
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,10; 6,69; -0,01; 8,17
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,20; 6,84; -0,03; 8,41
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,30; 6,99; -0,05; 8,64
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,40; 7,14; -0,06; 8,86
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,50; 7,27; -0,08; 9,07
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,60; 7,41; -0,09; 9,26
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,70; 7,53; -0,09; 9,44
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,80; 7,65; -0,10; 9,60
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 2,90; 7,76; -0,09; 9,74
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 3,00; 7,85; -0,09; 9,87
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 3,10; 7,94; -0,08; 9,97
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 3,20; 8,01; -0,08; 10,06
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 3,30; 8,07; -0,07; 10,12
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 3,40; 8,11; -0,07; 10,17
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 3,50; 8,14; -0,07; 10,19
Simple Physics Engine - Gentle Hilly Terrain - Diagonal; 3,60; 8,15; -0,07; 10,20
