Experiment; Time; X; Y; Z
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,00; 0,00; 0,00; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,10; -0,00; -0,00; 0,99
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,20; -0,01; 0,00; 1,96
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,30; -0,02; 0,00; 2,91
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,40; -0,02; 0,00; 3,84
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,50; -0,01; -0,00; 4,75
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,60; 0,00; 0,00; 5,65
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,70; 0,01; 0,00; 6,52
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,80; -0,00; -0,00; 7,37
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 0,90; -0,01; 0,00; 8,20
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,00; -0,02; 0,00; 9,02
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,10; -0,02; 0,00; 9,81
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,20; -0,01; 0,00; 10,59
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,30; 0,00; 0,00; 11,34
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,40; 0,01; 0,00; 12,08
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,50; 0,01; 0,00; 12,79
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,60; 0,01; 0,00; 13,49
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,70; -0,01; 0,00; 14,16
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,80; -0,02; 0,00; 14,82
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 1,90; -0,03; 0,00; 15,46
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,00; -0,03; 0,00; 16,07
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,10; -0,01; 0,00; 16,67
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,20; 0,00; -0,00; 17,25
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,30; 0,02; 0,00; 17,81
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,40; 0,03; 0,00; 18,35
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,50; 0,03; 0,00; 18,86
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,60; 0,02; 0,00; 19,36
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,70; 0,01; 0,00; 19,84
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,80; -0,01; -0,00; 20,30
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 2,90; -0,03; 0,00; 20,74
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,00; -0,05; 0,00; 21,16
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,10; -0,06; 0,01; 21,57
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,20; -0,06; 0,01; 21,95
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,30; -0,05; 0,00; 22,31
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,40; -0,03; 0,00; 22,65
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,50; -0,00; 0,00; 22,97
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,60; 0,02; -0,00; 23,27
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,70; 0,05; -0,00; 23,56
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,80; 0,08; 0,00; 23,82
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 3,90; 0,10; 0,00; 24,06
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,00; 0,12; 0,01; 24,28
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,10; 0,13; 0,01; 24,49
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,20; 0,13; 0,01; 24,67
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,30; 0,12; 0,01; 24,83
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,40; 0,10; 0,01; 24,97
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,50; 0,08; 0,01; 25,09
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,60; 0,05; 0,01; 25,20
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,70; 0,02; 0,00; 25,28
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,80; -0,01; -0,00; 25,35
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 4,90; -0,04; -0,00; 25,39
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 5,00; -0,07; -0,01; 25,43
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 5,10; -0,10; -0,01; 25,45
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 5,20; -0,12; -0,01; 25,46
Simple Physics Engine - Gentle Hilly Terrain - Fast z; 5,30; -0,13; -0,01; 25,46
