Experiment; Time; X; Y; Z
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,00; 0,00; 0,00; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,10; -0,00; -0,00; 0,19
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,20; -0,02; -0,00; 0,36
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,30; -0,04; -0,00; 0,51
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,40; -0,04; -0,00; 0,51
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,50; -0,06; -0,01; 0,64
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,60; -0,09; -0,01; 0,76
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,70; -0,12; -0,01; 0,85
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,80; -0,15; -0,01; 0,92
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 0,90; -0,18; -0,01; 0,98
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 1,00; -0,21; -0,01; 1,01
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 1,10; -0,22; -0,01; 1,03
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 1,20; -0,23; -0,01; 1,03
Simple Physics Engine - Gentle Hilly Terrain - Slow z; 1,30; -0,23; -0,01; 1,03
