Experiment; Time; X; Y; Z
Simple Physics Engine - Hilly Terrain - Slow x; 0,00; 0,00; 0,00; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 0,10; 0,14; 0,14; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 0,20; 0,17; 0,16; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 0,30; 0,10; 0,10; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 0,40; -0,04; -0,04; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 0,50; -0,27; -0,26; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 0,60; -0,56; -0,53; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 0,70; -0,92; -0,80; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 0,80; -1,32; -0,97; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 0,90; -1,72; -0,99; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,00; -2,09; -0,87; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,10; -2,39; -0,68; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,20; -2,60; -0,52; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,30; -2,71; -0,42; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,40; -2,71; -0,42; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,50; -2,62; -0,49; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,60; -2,48; -0,62; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,70; -2,27; -0,76; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,80; -2,02; -0,90; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 1,90; -1,75; -0,98; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,00; -1,48; -1,00; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,10; -1,24; -0,95; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,20; -1,05; -0,87; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,30; -0,93; -0,80; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,40; -0,89; -0,77; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,50; -0,91; -0,79; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,60; -0,97; -0,83; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,70; -1,07; -0,88; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,80; -1,20; -0,93; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 2,90; -1,34; -0,97; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,00; -1,48; -1,00; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,10; -1,62; -1,00; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,20; -1,73; -0,99; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,30; -1,80; -0,97; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,40; -1,84; -0,97; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,50; -1,83; -0,97; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,60; -1,81; -0,97; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,70; -1,79; -0,98; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,80; -1,77; -0,98; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 3,90; -1,75; -0,98; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 4,00; -1,73; -0,99; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 4,10; -1,71; -0,99; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 4,20; -1,70; -0,99; 0,00
Simple Physics Engine - Hilly Terrain - Slow x; 4,30; -1,70; -0,99; 0,00
