Experiment; Time; X; Y; Z
Simple Physics Engine - Hilly Terrain - Slow z; 0.00; 0.00; 0.00; 0.00
Simple Physics Engine - Hilly Terrain - Slow z; 0.10; -0.05; -0.05; 0.19
Simple Physics Engine - Hilly Terrain - Slow z; 0.20; -0.18; -0.17; 0.36
Simple Physics Engine - Hilly Terrain - Slow z; 0.30; -0.39; -0.33; 0.51
Simple Physics Engine - Hilly Terrain - Slow z; 0.40; -0.66; -0.50; 0.64
Simple Physics Engine - Hilly Terrain - Slow z; 0.50; -0.98; -0.63; 0.72
Simple Physics Engine - Hilly Terrain - Slow z; 0.60; -1.32; -0.71; 0.74
Simple Physics Engine - Hilly Terrain - Slow z; 0.70; -1.65; -0.76; 0.70
Simple Physics Engine - Hilly Terrain - Slow z; 0.80; -1.96; -0.76; 0.61
Simple Physics Engine - Hilly Terrain - Slow z; 0.90; -2.22; -0.71; 0.47
Simple Physics Engine - Hilly Terrain - Slow z; 1.00; -2.42; -0.63; 0.30
Simple Physics Engine - Hilly Terrain - Slow z; 1.10; -2.53; -0.57; 0.13
Simple Physics Engine - Hilly Terrain - Slow z; 1.20; -2.55; -0.56; -0.03
Simple Physics Engine - Hilly Terrain - Slow z; 1.30; -2.50; -0.59; -0.17
Simple Physics Engine - Hilly Terrain - Slow z; 1.40; -2.38; -0.67; -0.28
Simple Physics Engine - Hilly Terrain - Slow z; 1.50; -2.21; -0.75; -0.36
Simple Physics Engine - Hilly Terrain - Slow z; 1.60; -2.00; -0.83; -0.41
Simple Physics Engine - Hilly Terrain - Slow z; 1.70; -1.77; -0.89; -0.42
Simple Physics Engine - Hilly Terrain - Slow z; 1.80; -1.55; -0.92; -0.39
Simple Physics Engine - Hilly Terrain - Slow z; 1.90; -1.35; -0.92; -0.33
Simple Physics Engine - Hilly Terrain - Slow z; 2.00; -1.18; -0.90; -0.25
Simple Physics Engine - Hilly Terrain - Slow z; 2.10; -1.07; -0.87; -0.15
Simple Physics Engine - Hilly Terrain - Slow z; 2.20; -1.02; -0.85; -0.06
Simple Physics Engine - Hilly Terrain - Slow z; 2.30; -1.02; -0.85; 0.02
Simple Physics Engine - Hilly Terrain - Slow z; 2.40; -1.07; -0.87; 0.08
Simple Physics Engine - Hilly Terrain - Slow z; 2.50; -1.14; -0.90; 0.12
Simple Physics Engine - Hilly Terrain - Slow z; 2.60; -1.25; -0.94; 0.15
Simple Physics Engine - Hilly Terrain - Slow z; 2.70; -1.36; -0.97; 0.16
Simple Physics Engine - Hilly Terrain - Slow z; 2.80; -1.47; -0.98; 0.15
Simple Physics Engine - Hilly Terrain - Slow z; 2.90; -1.57; -0.99; 0.13
Simple Physics Engine - Hilly Terrain - Slow z; 3.00; -1.66; -0.99; 0.10
Simple Physics Engine - Hilly Terrain - Slow z; 3.10; -1.72; -0.99; 0.07
Simple Physics Engine - Hilly Terrain - Slow z; 3.20; -1.74; -0.98; 0.05
Simple Physics Engine - Hilly Terrain - Slow z; 3.30; -1.75; -0.98; 0.03
Simple Physics Engine - Hilly Terrain - Slow z; 3.40; -1.74; -0.99; 0.03
Simple Physics Engine - Hilly Terrain - Slow z; 3.50; -1.73; -0.99; 0.03
Simple Physics Engine - Hilly Terrain - Slow z; 3.60; -1.73; -0.99; 0.03
