Experiment; Time; X; Y; Z
Complete Physics Engine - Hilly Terrain - Slow z; 0.00; 0.00; 0.00; 0.00
Complete Physics Engine - Hilly Terrain - Slow z; 0.10; -0.02; -0.02; 0.19
Complete Physics Engine - Hilly Terrain - Slow z; 0.20; -0.09; -0.09; 0.37
Complete Physics Engine - Hilly Terrain - Slow z; 0.30; -0.21; -0.18; 0.54
Complete Physics Engine - Hilly Terrain - Slow z; 0.40; -0.36; -0.27; 0.69
Complete Physics Engine - Hilly Terrain - Slow z; 0.50; -0.54; -0.35; 0.81
Complete Physics Engine - Hilly Terrain - Slow z; 0.60; -0.75; -0.42; 0.91
Complete Physics Engine - Hilly Terrain - Slow z; 0.70; -0.98; -0.48; 0.96
Complete Physics Engine - Hilly Terrain - Slow z; 0.80; -1.21; -0.53; 0.97
Complete Physics Engine - Hilly Terrain - Slow z; 0.90; -1.44; -0.59; 0.93
Complete Physics Engine - Hilly Terrain - Slow z; 1.00; -1.65; -0.65; 0.85
Complete Physics Engine - Hilly Terrain - Slow z; 1.10; -1.85; -0.71; 0.73
Complete Physics Engine - Hilly Terrain - Slow z; 1.20; -2.03; -0.75; 0.58
Complete Physics Engine - Hilly Terrain - Slow z; 1.30; -2.17; -0.76; 0.40
Complete Physics Engine - Hilly Terrain - Slow z; 1.40; -2.26; -0.76; 0.22
Complete Physics Engine - Hilly Terrain - Slow z; 1.50; -2.30; -0.75; 0.04
Complete Physics Engine - Hilly Terrain - Slow z; 1.60; -2.30; -0.74; -0.13
Complete Physics Engine - Hilly Terrain - Slow z; 1.70; -2.25; -0.75; -0.28
Complete Physics Engine - Hilly Terrain - Slow z; 1.80; -2.17; -0.76; -0.39
Complete Physics Engine - Hilly Terrain - Slow z; 1.90; -2.06; -0.78; -0.47
Complete Physics Engine - Hilly Terrain - Slow z; 2.00; -1.94; -0.81; -0.52
Complete Physics Engine - Hilly Terrain - Slow z; 2.10; -1.81; -0.84; -0.52
Complete Physics Engine - Hilly Terrain - Slow z; 2.20; -1.68; -0.87; -0.49
Complete Physics Engine - Hilly Terrain - Slow z; 2.30; -1.56; -0.91; -0.43
Complete Physics Engine - Hilly Terrain - Slow z; 2.40; -1.46; -0.93; -0.35
Complete Physics Engine - Hilly Terrain - Slow z; 2.50; -1.37; -0.95; -0.25
Complete Physics Engine - Hilly Terrain - Slow z; 2.60; -1.32; -0.96; -0.14
Complete Physics Engine - Hilly Terrain - Slow z; 2.70; -1.29; -0.96; -0.04
Complete Physics Engine - Hilly Terrain - Slow z; 2.80; -1.29; -0.96; 0.05
Complete Physics Engine - Hilly Terrain - Slow z; 2.90; -1.31; -0.96; 0.12
Complete Physics Engine - Hilly Terrain - Slow z; 3.00; -1.35; -0.96; 0.15
Complete Physics Engine - Hilly Terrain - Slow z; 3.10; -1.39; -0.97; 0.17
Complete Physics Engine - Hilly Terrain - Slow z; 3.20; -1.43; -0.98; 0.17
Complete Physics Engine - Hilly Terrain - Slow z; 3.30; -1.46; -0.98; 0.15
Complete Physics Engine - Hilly Terrain - Slow z; 3.40; -1.49; -0.99; 0.13
Complete Physics Engine - Hilly Terrain - Slow z; 3.50; -1.51; -0.99; 0.11
Complete Physics Engine - Hilly Terrain - Slow z; 3.60; -1.52; -0.99; 0.10
Complete Physics Engine - Hilly Terrain - Slow z; 3.70; -1.53; -1.00; 0.09
Complete Physics Engine - Hilly Terrain - Slow z; 3.80; -1.53; -1.00; 0.09
