Experiment; Time; X; Y; Z
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.00; 0.00; 0.00; 0.00
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.10; -0.00; -0.05; 0.20
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.20; -0.02; -0.18; 0.40
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.30; -0.04; -0.37; 0.59
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.40; -0.08; -0.57; 0.79
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.50; -0.13; -0.73; 0.98
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.60; -0.20; -0.78; 1.16
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.70; -0.28; -0.66; 1.33
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.80; -0.38; -0.34; 1.48
Complete Physics Engine - Steep Hilly Terrain - Slow z; 0.90; -0.48; 0.15; 1.60
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.00; -0.58; 0.74; 1.71
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.10; -0.68; 1.37; 1.79
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.20; -0.77; 2.00; 1.86
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.30; -0.86; 2.59; 1.92
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.40; -0.94; 3.11; 1.97
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.50; -1.02; 3.55; 2.00
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.60; -1.10; 3.88; 2.02
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.70; -1.17; 4.10; 2.03
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.80; -1.25; 4.21; 2.03
Complete Physics Engine - Steep Hilly Terrain - Slow z; 1.90; -1.31; 4.19; 2.02
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.00; -1.38; 4.05; 2.00
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.10; -1.45; 3.79; 1.96
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.20; -1.51; 3.41; 1.92
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.30; -1.58; 2.90; 1.87
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.40; -1.64; 2.28; 1.80
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.50; -1.71; 1.54; 1.73
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.60; -1.77; 0.71; 1.64
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.70; -1.84; -0.20; 1.55
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.80; -1.90; -1.18; 1.45
Complete Physics Engine - Steep Hilly Terrain - Slow z; 2.90; -1.97; -2.18; 1.33
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.00; -2.03; -3.18; 1.21
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.10; -2.09; -4.15; 1.07
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.20; -2.15; -5.04; 0.93
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.30; -2.20; -5.82; 0.77
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.40; -2.24; -6.47; 0.60
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.50; -2.27; -6.96; 0.43
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.60; -2.29; -7.30; 0.25
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.70; -2.30; -7.48; 0.06
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.80; -2.29; -7.49; -0.12
Complete Physics Engine - Steep Hilly Terrain - Slow z; 3.90; -2.26; -7.36; -0.30
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.00; -2.23; -7.07; -0.47
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.10; -2.18; -6.64; -0.63
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.20; -2.12; -6.07; -0.78
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.30; -2.05; -5.38; -0.92
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.40; -1.98; -4.61; -1.04
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.50; -1.91; -3.79; -1.16
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.60; -1.84; -2.95; -1.26
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.70; -1.76; -2.13; -1.35
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.80; -1.69; -1.36; -1.43
Complete Physics Engine - Steep Hilly Terrain - Slow z; 4.90; -1.61; -0.66; -1.50
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.00; -1.54; -0.05; -1.57
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.10; -1.46; 0.47; -1.62
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.20; -1.39; 0.87; -1.66
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.30; -1.31; 1.16; -1.69
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.40; -1.24; 1.34; -1.71
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.50; -1.16; 1.40; -1.72
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.60; -1.09; 1.35; -1.72
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.70; -1.01; 1.21; -1.71
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.80; -0.94; 0.97; -1.69
Complete Physics Engine - Steep Hilly Terrain - Slow z; 5.90; -0.86; 0.66; -1.66
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.00; -0.79; 0.29; -1.61
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.10; -0.71; -0.12; -1.55
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.20; -0.63; -0.55; -1.48
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.30; -0.56; -0.96; -1.39
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.40; -0.49; -1.34; -1.28
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.50; -0.43; -1.66; -1.16
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.60; -0.39; -1.93; -1.03
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.70; -0.35; -2.17; -0.89
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.80; -0.34; -2.41; -0.75
Complete Physics Engine - Steep Hilly Terrain - Slow z; 6.90; -0.33; -2.67; -0.60
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.00; -0.34; -2.97; -0.45
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.10; -0.35; -3.31; -0.30
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.20; -0.38; -3.68; -0.15
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.30; -0.42; -4.08; -0.00
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.40; -0.47; -4.47; 0.14
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.50; -0.53; -4.83; 0.29
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.60; -0.60; -5.11; 0.44
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.70; -0.68; -5.27; 0.58
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.80; -0.77; -5.30; 0.71
Complete Physics Engine - Steep Hilly Terrain - Slow z; 7.90; -0.87; -5.18; 0.83
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.00; -0.98; -4.92; 0.94
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.10; -1.09; -4.55; 1.03
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.20; -1.21; -4.09; 1.12
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.30; -1.32; -3.60; 1.19
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.40; -1.44; -3.10; 1.25
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.50; -1.56; -2.64; 1.30
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.60; -1.68; -2.23; 1.35
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.70; -1.79; -1.89; 1.38
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.80; -1.91; -1.63; 1.40
Complete Physics Engine - Steep Hilly Terrain - Slow z; 8.90; -2.02; -1.47; 1.41
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.00; -2.13; -1.39; 1.41
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.10; -2.24; -1.38; 1.39
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.20; -2.34; -1.43; 1.37
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.30; -2.44; -1.51; 1.33
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.40; -2.53; -1.61; 1.28
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.50; -2.62; -1.71; 1.22
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.60; -2.69; -1.79; 1.15
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.70; -2.75; -1.86; 1.06
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.80; -2.80; -1.93; 0.97
Complete Physics Engine - Steep Hilly Terrain - Slow z; 9.90; -2.83; -2.01; 0.87
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.00; -2.84; -2.14; 0.77
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.10; -2.84; -2.32; 0.66
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.20; -2.83; -2.57; 0.55
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.30; -2.81; -2.91; 0.45
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.40; -2.78; -3.32; 0.34
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.50; -2.74; -3.82; 0.23
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.60; -2.69; -4.37; 0.12
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.70; -2.62; -4.96; 0.01
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.80; -2.55; -5.57; -0.10
Complete Physics Engine - Steep Hilly Terrain - Slow z; 10.90; -2.46; -6.15; -0.21
Complete Physics Engine - Steep Hilly Terrain - Slow z; 11.00; -2.36; -6.67; -0.32
Complete Physics Engine - Steep Hilly Terrain - Slow z; 11.10; -2.25; -7.09; -0.42
