Experiment; Time; X; Y; Z
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.00; 0.00; 0.10; 0.00
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.10; 0.00; 0.10; 0.19
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.20; 0.00; 0.10; 0.36
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.30; 0.00; 0.10; 0.51
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.40; 0.00; 0.10; 0.64
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.50; 0.00; 0.10; 0.75
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.60; 0.00; 0.10; 0.85
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.70; 0.00; 0.10; 0.92
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.80; 0.00; 0.10; 0.97
Simple Physics Engine - Flat Sandy Terrain - Slow z; 0.90; 0.00; 0.10; 1.01
Simple Physics Engine - Flat Sandy Terrain - Slow z; 1.00; 0.00; 0.10; 1.02
Simple Physics Engine - Flat Sandy Terrain - Slow z; 1.10; 0.00; 0.10; 1.02
