Experiment; Time; X; Y; Z
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.00; 0.00; 0.00; 0.00
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.10; -0.44; -2.42; 0.97
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.20; -1.36; -0.25; 1.54
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.30; -2.30; -2.46; 1.23
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.40; -2.94; -1.91; 0.30
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.50; -2.75; -2.85; -0.72
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.60; -1.94; -1.40; -1.42
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.70; -1.04; -2.44; -1.28
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.80; -0.37; -3.33; -0.42
Simple Physics Engine - Steep Hilly Terrain - Fast z; 0.90; -0.46; -3.58; 0.62
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.00; -1.19; -2.11; 1.34
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.10; -2.04; -2.90; 1.24
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.20; -2.66; -4.27; 0.39
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.30; -2.56; -4.37; -0.64
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.40; -1.87; -2.47; -1.31
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.50; -1.07; -3.73; -1.13
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.60; -0.55; -5.06; -0.25
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.70; -0.74; -4.91; 0.76
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.80; -1.43; -2.75; 1.29
Simple Physics Engine - Steep Hilly Terrain - Fast z; 1.90; -2.16; -4.82; 0.95
Simple Physics Engine - Steep Hilly Terrain - Fast z; 2.00; -2.52; -5.80; 0.01
Simple Physics Engine - Steep Hilly Terrain - Fast z; 2.10; -2.19; -4.94; -0.92
Simple Physics Engine - Steep Hilly Terrain - Fast z; 2.20; -1.51; -3.34; -1.23
