Experiment; Time; X; Y; Z
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,00; 0,00; 0,30; 0,00
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,10; 0,50; 0,30; 0,50
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,20; 0,99; 0,30; 0,99
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,30; 1,48; 0,30; 1,48
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,40; 1,48; 0,30; 1,48
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,50; 1,96; 0,30; 1,96
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,60; 2,43; 0,30; 2,43
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,70; 2,90; 0,30; 2,90
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,80; 3,36; 0,30; 3,36
Complete Physics Engine - Flat Grass Terrain - Diagonal; 0,90; 3,82; 0,30; 3,82
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,00; 4,28; 0,30; 4,28
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,10; 4,72; 0,30; 4,72
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,20; 5,16; 0,30; 5,16
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,30; 5,16; 0,30; 5,16
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,40; 5,60; 0,30; 5,60
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,50; 6,03; 0,30; 6,03
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,60; 6,46; 0,30; 6,46
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,70; 6,88; 0,30; 6,88
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,80; 7,29; 0,30; 7,29
Complete Physics Engine - Flat Grass Terrain - Diagonal; 1,90; 7,70; 0,30; 7,70
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,00; 8,10; 0,30; 8,10
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,10; 8,50; 0,30; 8,50
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,20; 8,89; 0,30; 8,89
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,30; 9,28; 0,30; 9,28
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,40; 9,66; 0,30; 9,66
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,50; 10,03; 0,30; 10,03
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,60; 10,40; 0,30; 10,40
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,70; 10,77; 0,30; 10,77
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,80; 11,12; 0,30; 11,12
Complete Physics Engine - Flat Grass Terrain - Diagonal; 2,90; 11,48; 0,30; 11,48
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,00; 11,82; 0,30; 11,82
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,10; 12,17; 0,30; 12,17
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,20; 12,50; 0,30; 12,50
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,30; 12,50; 0,30; 12,50
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,40; 12,83; 0,30; 12,83
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,50; 13,16; 0,30; 13,16
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,60; 13,48; 0,30; 13,48
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,70; 13,79; 0,30; 13,79
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,80; 14,10; 0,30; 14,10
Complete Physics Engine - Flat Grass Terrain - Diagonal; 3,90; 14,40; 0,30; 14,40
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,00; 14,70; 0,30; 14,70
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,10; 14,99; 0,30; 14,99
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,20; 15,28; 0,30; 15,28
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,30; 15,56; 0,30; 15,56
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,40; 15,84; 0,30; 15,84
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,50; 16,11; 0,30; 16,11
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,60; 16,37; 0,30; 16,37
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,70; 16,63; 0,30; 16,63
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,80; 16,88; 0,30; 16,88
Complete Physics Engine - Flat Grass Terrain - Diagonal; 4,90; 17,13; 0,30; 17,13
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,00; 17,37; 0,30; 17,37
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,10; 17,61; 0,30; 17,61
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,20; 17,84; 0,30; 17,84
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,30; 18,06; 0,30; 18,06
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,40; 18,28; 0,30; 18,28
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,50; 18,50; 0,30; 18,50
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,60; 18,71; 0,30; 18,71
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,70; 18,91; 0,30; 18,91
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,80; 19,11; 0,30; 19,11
Complete Physics Engine - Flat Grass Terrain - Diagonal; 5,90; 19,30; 0,30; 19,30
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,00; 19,49; 0,30; 19,49
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,10; 19,67; 0,30; 19,67
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,20; 19,84; 0,30; 19,84
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,30; 20,01; 0,30; 20,01
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,40; 20,18; 0,30; 20,18
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,50; 20,33; 0,30; 20,33
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,60; 20,49; 0,30; 20,49
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,70; 20,63; 0,30; 20,63
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,80; 20,78; 0,30; 20,78
Complete Physics Engine - Flat Grass Terrain - Diagonal; 6,90; 20,91; 0,30; 20,91
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,00; 21,04; 0,30; 21,04
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,10; 21,17; 0,30; 21,17
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,20; 21,29; 0,30; 21,29
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,30; 21,40; 0,30; 21,40
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,40; 21,51; 0,30; 21,51
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,50; 21,62; 0,30; 21,62
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,60; 21,71; 0,30; 21,71
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,70; 21,81; 0,30; 21,81
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,80; 21,89; 0,30; 21,89
Complete Physics Engine - Flat Grass Terrain - Diagonal; 7,90; 21,97; 0,30; 21,97
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,00; 22,05; 0,30; 22,05
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,10; 22,12; 0,30; 22,12
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,20; 22,18; 0,30; 22,18
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,30; 22,24; 0,30; 22,24
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,40; 22,30; 0,30; 22,30
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,50; 22,34; 0,30; 22,34
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,60; 22,39; 0,30; 22,39
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,70; 22,42; 0,30; 22,42
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,80; 22,45; 0,30; 22,45
Complete Physics Engine - Flat Grass Terrain - Diagonal; 8,90; 22,48; 0,30; 22,48
Complete Physics Engine - Flat Grass Terrain - Diagonal; 9,00; 22,50; 0,30; 22,50
Complete Physics Engine - Flat Grass Terrain - Diagonal; 9,10; 22,51; 0,30; 22,51
Complete Physics Engine - Flat Grass Terrain - Diagonal; 9,20; 22,52; 0,30; 22,52
Complete Physics Engine - Flat Grass Terrain - Diagonal; 9,30; 22,52; 0,30; 22,52
Complete Physics Engine - Flat Grass Terrain - Diagonal; 9,40; 22,52; 0,30; 22,52
