Experiment; Time; X; Y; Z
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,10; 0,49; 0,04; 0,49
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,20; 0,96; 0,05; 0,97
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,30; 1,41; 0,01; 1,45
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,40; 1,84; -0,03; 1,92
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,50; 2,27; -0,06; 2,38
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,60; 2,67; -0,04; 2,84
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,70; 3,05; -0,01; 3,28
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,80; 3,42; 0,02; 3,70
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 0,90; 3,76; 0,03; 4,11
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,00; 4,08; 0,02; 4,52
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,10; 4,39; -0,02; 4,91
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,20; 4,69; -0,06; 5,30
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,30; 4,98; -0,08; 5,68
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,40; 5,25; -0,08; 6,05
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,50; 5,51; -0,07; 6,41
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,60; 5,75; -0,05; 6,75
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,70; 5,97; -0,02; 7,07
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,80; 6,17; -0,01; 7,37
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 1,90; 6,36; 0,00; 7,66
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,00; 6,54; -0,00; 7,93
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,10; 6,70; -0,01; 8,18
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,20; 6,86; -0,03; 8,43
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,30; 7,01; -0,05; 8,66
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,40; 7,16; -0,07; 8,88
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,50; 7,30; -0,08; 9,09
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,60; 7,43; -0,09; 9,28
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,70; 7,56; -0,10; 9,46
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,80; 7,68; -0,10; 9,62
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 2,90; 7,78; -0,09; 9,77
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 3,00; 7,88; -0,09; 9,89
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 3,10; 7,97; -0,08; 10,00
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 3,20; 8,04; -0,08; 10,09
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 3,30; 8,09; -0,07; 10,15
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 3,40; 8,14; -0,07; 10,20
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 3,50; 8,16; -0,07; 10,22
Complete Physics Engine - Gentle Hilly Terrain - Diagonal; 3,60; 8,17; -0,07; 10,23
