Experiment; Time; X; Y; Z
Complete Physics Engine - Hilly Terrain - Slow x; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 0,10; 0,17; 0,17; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 0,20; 0,28; 0,28; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 0,30; 0,34; 0,34; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 0,40; 0,34; 0,34; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 0,50; 0,35; 0,34; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 0,60; 0,31; 0,31; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 0,70; 0,23; 0,22; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 0,80; 0,10; 0,10; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 0,90; -0,07; -0,07; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,00; -0,28; -0,27; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,10; -0,52; -0,50; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,20; -0,80; -0,72; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,30; -0,80; -0,72; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,40; -1,12; -0,90; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,50; -1,45; -0,99; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,60; -1,77; -0,98; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,70; -2,06; -0,88; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,80; -2,30; -0,75; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 1,90; -2,47; -0,62; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,00; -2,59; -0,52; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,10; -2,65; -0,47; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,20; -2,65; -0,47; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,30; -2,60; -0,52; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,40; -2,51; -0,59; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,50; -2,39; -0,69; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,60; -2,23; -0,79; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,70; -2,04; -0,89; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,80; -1,84; -0,96; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 2,90; -1,63; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,00; -1,43; -0,99; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,10; -1,26; -0,95; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,20; -1,14; -0,91; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,30; -1,14; -0,91; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,40; -1,07; -0,88; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,50; -1,06; -0,87; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,60; -1,08; -0,88; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,70; -1,12; -0,90; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,80; -1,17; -0,92; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 3,90; -1,25; -0,95; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 4,00; -1,33; -0,97; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 4,10; -1,42; -0,99; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 4,20; -1,51; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 4,30; -1,58; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 4,40; -1,63; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 4,50; -1,65; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 4,60; -1,65; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Slow x; 4,70; -1,65; -1,00; 0,00
