Experiment; Time; X; Y; Z
Complete Physics Engine - Sandy Terrain - Fast x; 0,00; 0,00; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 0,10; 0,99; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 0,20; 1,96; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 0,30; 2,91; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 0,40; 2,91; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 0,50; 3,84; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 0,60; 4,75; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 0,70; 5,65; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 0,80; 6,52; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 0,90; 7,37; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,00; 8,21; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,10; 9,02; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,20; 9,81; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,30; 9,81; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,40; 10,59; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,50; 11,34; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,60; 12,08; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,70; 12,79; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,80; 13,49; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 1,90; 14,16; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,00; 14,82; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,10; 15,46; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,20; 16,08; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,30; 16,67; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,40; 17,25; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,50; 17,81; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,60; 18,35; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,70; 18,87; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,80; 19,37; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 2,90; 19,85; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,00; 20,31; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,10; 20,75; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,20; 21,17; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,30; 21,17; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,40; 21,57; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,50; 21,95; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,60; 22,32; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,70; 22,66; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,80; 22,98; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 3,90; 23,29; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,00; 23,57; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,10; 23,83; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,20; 24,08; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,30; 24,30; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,40; 24,51; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,50; 24,70; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,60; 24,86; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,70; 25,01; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,80; 25,13; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 4,90; 25,24; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 5,00; 25,33; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 5,10; 25,40; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 5,20; 25,45; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 5,30; 25,47; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 5,40; 25,48; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Fast x; 5,50; 25,48; 0,10; 0,00
