Experiment; Time; X; Y; Z
Complete Physics Engine - Sandy Terrain - Slow x; 0,00; 0,00; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 0,10; 0,19; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 0,20; 0,36; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 0,30; 0,51; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 0,40; 0,64; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 0,50; 0,75; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 0,60; 0,85; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 0,70; 0,92; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 0,80; 0,97; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 0,90; 1,01; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 1,00; 1,02; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow x; 1,10; 1,02; 0,10; 0,00
