Experiment; Time; X; Y; Z
Complete Physics Engine - Sandy Terrain - Slow z; 0,00; 0,00; 0,10; 0,00
Complete Physics Engine - Sandy Terrain - Slow z; 0,10; 0,00; 0,10; 0,19
Complete Physics Engine - Sandy Terrain - Slow z; 0,20; 0,00; 0,10; 0,36
Complete Physics Engine - Sandy Terrain - Slow z; 0,30; 0,00; 0,10; 0,51
Complete Physics Engine - Sandy Terrain - Slow z; 0,40; 0,00; 0,10; 0,51
Complete Physics Engine - Sandy Terrain - Slow z; 0,50; 0,00; 0,10; 0,64
Complete Physics Engine - Sandy Terrain - Slow z; 0,60; 0,00; 0,10; 0,75
Complete Physics Engine - Sandy Terrain - Slow z; 0,70; 0,00; 0,10; 0,85
Complete Physics Engine - Sandy Terrain - Slow z; 0,80; 0,00; 0,10; 0,92
Complete Physics Engine - Sandy Terrain - Slow z; 0,90; 0,00; 0,10; 0,97
Complete Physics Engine - Sandy Terrain - Slow z; 1,00; 0,00; 0,10; 1,01
Complete Physics Engine - Sandy Terrain - Slow z; 1,10; 0,00; 0,10; 1,02
Complete Physics Engine - Sandy Terrain - Slow z; 1,20; 0,00; 0,10; 1,02
Complete Physics Engine - Sandy Terrain - Slow z; 1,30; 0,00; 0,10; 1,02
