Experiment; Time; X; Y; Z
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,10; 0,49; 4,17; 0,50
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,20; 0,98; 4,45; 1,00
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,30; 1,46; 0,52; 1,52
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,40; 1,93; -4,25; 2,04
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,50; 2,41; -5,66; 2,58
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,60; 2,87; -2,67; 3,12
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,70; 3,32; 1,57; 3,66
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,80; 3,76; 2,86; 4,20
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 0,90; 4,20; -0,35; 4,75
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,00; 4,63; -5,66; 5,32
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,10; 5,06; -8,69; 5,89
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,20; 5,48; -7,07; 6,48
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,30; 5,88; -2,77; 7,06
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,40; 6,27; -0,02; 7,64
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,50; 6,65; -1,29; 8,22
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,60; 7,04; -5,65; 8,82
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,70; 7,44; -9,14; 9,43
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,80; 7,85; -8,18; 10,04
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 1,90; 8,27; -3,33; 10,62
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,00; 8,69; 1,34; 11,20
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,10; 9,11; 2,14; 11,76
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,20; 9,54; -1,13; 12,31
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,30; 9,98; -5,07; 12,87
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,40; 10,44; -5,60; 13,42
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,50; 10,90; -1,80; 13,96
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,60; 11,36; 3,18; 14,48
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,70; 11,82; 5,18; 15,00
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,80; 12,29; 2,69; 15,51
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 2,90; 12,77; -1,92; 16,02
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,00; 13,26; -4,37; 16,53
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,10; 13,76; -2,33; 17,03
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,20; 14,26; 2,29; 17,51
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,30; 14,76; 5,28; 17,99
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,40; 15,27; 3,91; 18,45
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,50; 15,79; -0,80; 18,92
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,60; 16,32; -4,94; 19,38
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,70; 16,86; -5,04; 19,83
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,80; 17,40; -1,40; 20,28
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 3,90; 17,94; 2,28; 20,71
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,00; 18,48; 2,35; 21,13
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,10; 19,04; -1,70; 21,55
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,20; 19,61; -6,86; 21,97
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,30; 20,19; -9,00; 22,38
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,40; 20,77; -6,61; 22,78
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,50; 21,36; -2,29; 23,16
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,60; 21,93; -0,02; 23,53
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,70; 22,50; -1,55; 23,89
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,80; 23,07; -5,68; 24,26
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 4,90; 23,65; -8,81; 24,65
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,00; 24,22; -7,87; 25,05
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,10; 24,78; -3,30; 25,45
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,20; 25,32; 1,43; 25,85
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,30; 25,86; 2,85; 26,26
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,40; 26,38; 0,28; 26,67
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,50; 26,91; -3,79; 27,10
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,60; 27,43; -5,54; 27,54
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,70; 27,94; -3,12; 27,98
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,80; 28,44; 1,67; 28,43
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 5,90; 28,94; 5,07; 28,87
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,00; 29,42; 4,51; 29,33
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,10; 29,89; 0,55; 29,79
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,20; 30,37; -3,51; 30,26
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,30; 30,84; -4,25; 30,75
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,40; 31,30; -1,10; 31,24
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,50; 31,75; 3,16; 31,73
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,60; 32,19; 4,89; 32,22
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,70; 32,63; 2,50; 32,72
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,80; 33,05; -2,36; 33,23
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 6,90; 33,48; -6,05; 33,75
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 7,00; 33,90; -5,84; 34,27
Complete Physics Engine - Steep Hilly Terrain - Diagonal; 7,10; 34,31; -2,36; 34,81
