Experiment; Time; X; Y; Z
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,10; -0,01; -0,03; 1,00
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,20; -0,04; 0,14; 1,99
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,30; -0,07; 0,68; 2,97
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,40; -0,07; 0,68; 2,97
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,50; -0,09; 0,64; 3,94
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,60; -0,10; -0,20; 4,92
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,70; -0,11; -1,01; 5,91
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,80; -0,13; -1,08; 6,89
Complete Physics Engine - Steep Hilly Terrain - Fast z; 0,90; -0,17; 0,03; 7,87
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,00; -0,20; 1,68; 8,83
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,10; -0,23; 2,10; 9,79
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,20; -0,24; 0,59; 10,74
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,30; -0,24; 0,59; 10,74
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,40; -0,24; -1,58; 11,71
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,50; -0,26; -2,59; 12,69
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,60; -0,30; -1,34; 13,66
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,70; -0,34; 1,53; 14,62
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,80; -0,37; 3,56; 15,56
Complete Physics Engine - Steep Hilly Terrain - Fast z; 1,90; -0,39; 2,65; 16,50
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,00; -0,40; -0,67; 17,45
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,10; -0,41; -3,61; 18,42
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,20; -0,43; -3,61; 19,38
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,30; -0,47; -0,36; 20,34
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,40; -0,50; 3,67; 21,29
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,50; -0,53; 4,91; 22,22
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,60; -0,54; 2,02; 23,16
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,70; -0,55; -2,72; 24,11
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,80; -0,57; -5,35; 25,07
Complete Physics Engine - Steep Hilly Terrain - Fast z; 2,90; -0,59; -3,48; 26,03
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,00; -0,63; 1,60; 26,98
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,10; -0,66; 5,75; 27,92
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,20; -0,68; 5,29; 28,85
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,30; -0,68; 5,29; 28,85
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,40; -0,69; 0,38; 29,79
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,50; -0,70; -5,01; 30,74
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,60; -0,72; -6,33; 31,69
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,70; -0,75; -2,28; 32,65
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,80; -0,78; 3,99; 33,59
Complete Physics Engine - Steep Hilly Terrain - Fast z; 3,90; -0,81; 7,25; 34,52
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,00; -0,83; 4,65; 35,45
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,10; -0,84; -1,87; 36,38
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,20; -0,85; -6,99; 37,33
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,30; -0,87; -6,35; 38,29
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,40; -0,90; -0,30; 39,23
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,50; -0,93; 6,27; 40,16
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,60; -0,96; 7,93; 41,09
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,70; -0,97; 3,18; 42,01
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,80; -0,97; -4,26; 42,95
Complete Physics Engine - Steep Hilly Terrain - Fast z; 4,90; -0,99; -8,31; 43,90
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,00; -1,01; -5,48; 44,85
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,10; -1,04; 2,01; 45,79
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,20; -1,08; 8,07; 46,71
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,30; -1,09; 7,76; 47,63
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,40; -1,10; 1,22; 48,56
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,50; -1,11; -6,41; 49,49
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,60; -1,12; -8,86; 50,44
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,70; -1,15; -3,98; 51,38
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,80; -1,18; 4,25; 52,31
Complete Physics Engine - Steep Hilly Terrain - Fast z; 5,90; -1,21; 9,20; 53,23
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,00; -1,22; 6,92; 54,15
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,10; -1,22; -0,92; 55,08
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,20; -1,23; -8,10; 56,01
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,30; -1,24; -8,68; 56,96
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,40; -1,28; -2,12; 57,90
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,50; -1,31; 6,23; 58,82
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,60; -1,34; 9,72; 59,73
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,70; -1,35; 5,64; 60,64
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,80; -1,35; -2,95; 61,57
Complete Physics Engine - Steep Hilly Terrain - Fast z; 6,90; -1,36; -9,26; 62,50
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,00; -1,38; -8,05; 63,44
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,10; -1,42; -0,39; 64,36
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,20; -1,45; 7,59; 65,27
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,30; -1,48; 9,78; 66,16
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,40; -1,50; 4,63; 67,06
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,50; -1,52; -4,13; 67,97
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,60; -1,53; -9,74; 68,89
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,70; -1,55; -7,64; 69,82
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,80; -1,58; 0,33; 70,72
Complete Physics Engine - Steep Hilly Terrain - Fast z; 7,90; -1,60; 7,98; 71,61
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,00; -1,63; 9,73; 72,48
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,10; -1,66; 4,53; 73,36
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,20; -1,69; -3,99; 74,24
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,30; -1,72; -9,55; 75,14
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,40; -1,74; -7,91; 76,04
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,50; -1,75; -0,50; 76,92
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,60; -1,76; 7,18; 77,79
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,70; -1,77; 9,75; 78,64
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,80; -1,80; 5,58; 79,50
Complete Physics Engine - Steep Hilly Terrain - Fast z; 8,90; -1,84; -2,47; 80,37
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,00; -1,87; -8,67; 81,25
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,10; -1,89; -8,52; 82,14
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,20; -1,90; -2,24; 83,01
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,30; -1,90; 5,53; 83,88
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,40; -1,91; 9,39; 84,73
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,50; -1,94; 6,81; 85,58
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,60; -1,97; -0,40; 86,44
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,70; -2,00; -7,21; 87,31
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,80; -2,02; -8,77; 88,19
Complete Physics Engine - Steep Hilly Terrain - Fast z; 9,90; -2,03; -4,05; 89,07
Complete Physics Engine - Steep Hilly Terrain - Fast z; 10,00; -2,04; 3,44; 89,93
Complete Physics Engine - Steep Hilly Terrain - Fast z; 10,10; -2,04; 8,44; 90,78
Complete Physics Engine - Steep Hilly Terrain - Fast z; 10,20; -2,06; 7,64; 91,63
Complete Physics Engine - Steep Hilly Terrain - Fast z; 10,30; -2,10; 1,68; 92,48
Complete Physics Engine - Steep Hilly Terrain - Fast z; 10,40; -2,13; -5,26; 93,35
Complete Physics Engine - Steep Hilly Terrain - Fast z; 10,50; -2,16; -8,32; 94,22
Complete Physics Engine - Steep Hilly Terrain - Fast z; 10,60; -2,17; -5,45; 95,10
Complete Physics Engine - Steep Hilly Terrain - Fast z; 10,70; -2,18; 1,16; 95,96
Complete Physics Engine - Steep Hilly Terrain - Fast z; 10,80; -2,18; 6,85; 96,81
