Experiment; Time; X; Y; Z
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,10; 0,20; 1,94; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,20; 0,38; 3,71; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,30; 0,55; 5,27; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,40; 0,72; 6,58; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,50; 0,87; 7,63; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,60; 1,00; 8,43; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,70; 1,12; 9,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,80; 1,21; 9,37; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 0,90; 1,28; 9,59; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,00; 1,32; 9,69; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,10; 1,32; 9,69; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,20; 1,29; 9,60; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,30; 1,23; 9,41; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,40; 1,14; 9,07; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,50; 1,03; 8,55; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,60; 0,90; 7,82; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,70; 0,75; 6,85; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,80; 0,60; 5,63; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 1,90; 0,43; 4,16; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 2,00; 0,25; 2,47; 0,00
Complete Physics Engine - Steep Hilly Terrain - Slow x; 2,10; 0,06; 0,61; 0,00
