Experiment; Time; X; Y; Z
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,00; 0,00; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,10; 0,50; 0,30; 0,50
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,20; 0,99; 0,30; 0,99
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,30; 1,48; 0,30; 1,48
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,40; 1,96; 0,30; 1,96
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,50; 2,43; 0,30; 2,43
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,60; 2,90; 0,30; 2,90
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,70; 3,36; 0,30; 3,36
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,80; 3,82; 0,30; 3,82
Simple Physics Engine - Flat Grass Terrain - Diagonal; 0,90; 4,28; 0,30; 4,28
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,00; 4,72; 0,30; 4,72
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,10; 5,16; 0,30; 5,16
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,20; 5,60; 0,30; 5,60
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,30; 6,03; 0,30; 6,03
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,40; 6,46; 0,30; 6,46
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,50; 6,88; 0,30; 6,88
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,60; 7,29; 0,30; 7,29
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,70; 7,70; 0,30; 7,70
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,80; 8,10; 0,30; 8,10
Simple Physics Engine - Flat Grass Terrain - Diagonal; 1,90; 8,50; 0,30; 8,50
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,00; 8,89; 0,30; 8,89
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,10; 9,28; 0,30; 9,28
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,20; 9,66; 0,30; 9,66
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,30; 10,03; 0,30; 10,03
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,40; 10,40; 0,30; 10,40
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,50; 10,77; 0,30; 10,77
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,60; 11,12; 0,30; 11,12
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,70; 11,48; 0,30; 11,48
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,80; 11,82; 0,30; 11,82
Simple Physics Engine - Flat Grass Terrain - Diagonal; 2,90; 12,17; 0,30; 12,17
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,00; 12,50; 0,30; 12,50
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,10; 12,83; 0,30; 12,83
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,20; 13,16; 0,30; 13,16
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,30; 13,48; 0,30; 13,48
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,40; 13,79; 0,30; 13,79
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,50; 14,10; 0,30; 14,10
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,60; 14,40; 0,30; 14,40
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,70; 14,70; 0,30; 14,70
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,80; 14,99; 0,30; 14,99
Simple Physics Engine - Flat Grass Terrain - Diagonal; 3,90; 15,28; 0,30; 15,28
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,00; 15,56; 0,30; 15,56
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,10; 15,84; 0,30; 15,84
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,20; 16,11; 0,30; 16,11
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,30; 16,37; 0,30; 16,37
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,40; 16,63; 0,30; 16,63
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,50; 16,88; 0,30; 16,88
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,60; 17,13; 0,30; 17,13
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,70; 17,37; 0,30; 17,37
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,80; 17,61; 0,30; 17,61
Simple Physics Engine - Flat Grass Terrain - Diagonal; 4,90; 17,84; 0,30; 17,84
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,00; 18,06; 0,30; 18,06
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,10; 18,28; 0,30; 18,28
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,20; 18,50; 0,30; 18,50
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,30; 18,71; 0,30; 18,71
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,40; 18,91; 0,30; 18,91
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,50; 19,11; 0,30; 19,11
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,60; 19,30; 0,30; 19,30
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,70; 19,49; 0,30; 19,49
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,80; 19,67; 0,30; 19,67
Simple Physics Engine - Flat Grass Terrain - Diagonal; 5,90; 19,84; 0,30; 19,84
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,00; 20,01; 0,30; 20,01
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,10; 20,18; 0,30; 20,18
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,20; 20,33; 0,30; 20,33
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,30; 20,49; 0,30; 20,49
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,40; 20,63; 0,30; 20,63
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,50; 20,78; 0,30; 20,78
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,60; 20,91; 0,30; 20,91
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,70; 21,04; 0,30; 21,04
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,80; 21,17; 0,30; 21,17
Simple Physics Engine - Flat Grass Terrain - Diagonal; 6,90; 21,29; 0,30; 21,29
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,00; 21,40; 0,30; 21,40
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,10; 21,51; 0,30; 21,51
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,20; 21,62; 0,30; 21,62
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,30; 21,71; 0,30; 21,71
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,40; 21,81; 0,30; 21,81
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,50; 21,89; 0,30; 21,89
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,60; 21,97; 0,30; 21,97
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,70; 22,05; 0,30; 22,05
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,80; 22,12; 0,30; 22,12
Simple Physics Engine - Flat Grass Terrain - Diagonal; 7,90; 22,18; 0,30; 22,18
Simple Physics Engine - Flat Grass Terrain - Diagonal; 8,00; 22,24; 0,30; 22,24
Simple Physics Engine - Flat Grass Terrain - Diagonal; 8,10; 22,30; 0,30; 22,30
Simple Physics Engine - Flat Grass Terrain - Diagonal; 8,20; 22,34; 0,30; 22,34
Simple Physics Engine - Flat Grass Terrain - Diagonal; 8,30; 22,39; 0,30; 22,39
Simple Physics Engine - Flat Grass Terrain - Diagonal; 8,40; 22,42; 0,30; 22,42
Simple Physics Engine - Flat Grass Terrain - Diagonal; 8,50; 22,45; 0,30; 22,45
Simple Physics Engine - Flat Grass Terrain - Diagonal; 8,60; 22,48; 0,30; 22,48
Simple Physics Engine - Flat Grass Terrain - Diagonal; 8,70; 22,50; 0,30; 22,50
