Experiment; Time; X; Y; Z
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,00; 0,00; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,10; 0,20; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,20; 0,38; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,30; 0,56; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,40; 0,56; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,50; 0,74; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,60; 0,90; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,70; 1,06; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,80; 1,21; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 0,90; 1,35; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,00; 1,48; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,10; 1,61; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,20; 1,73; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,30; 1,73; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,40; 1,83; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,50; 1,94; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,60; 2,03; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,70; 2,12; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,80; 2,20; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 1,90; 2,27; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,00; 2,33; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,10; 2,38; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,20; 2,43; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,30; 2,47; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,40; 2,50; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,50; 2,52; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,60; 2,54; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,70; 2,55; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,80; 2,55; 0,30; 0,00
Simple Physics Engine - Flat Grass Terrain - Slow x; 2,90; 2,55; 0,30; 0,00
