Experiment; Time; X; Y; Z
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,00; 0,00; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,10; 0,49; 0,10; 0,49
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,20; 0,97; 0,10; 0,97
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,30; 1,44; 0,10; 1,44
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,40; 1,44; 0,10; 1,44
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,50; 1,89; 0,10; 1,89
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,60; 2,33; 0,10; 2,33
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,70; 2,75; 0,10; 2,75
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,80; 3,16; 0,10; 3,16
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 0,90; 3,56; 0,10; 3,56
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,00; 3,94; 0,10; 3,94
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,10; 4,31; 0,10; 4,31
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,20; 4,66; 0,10; 4,66
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,30; 4,66; 0,10; 4,66
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,40; 5,00; 0,10; 5,00
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,50; 5,33; 0,10; 5,33
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,60; 5,64; 0,10; 5,64
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,70; 5,94; 0,10; 5,94
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,80; 6,22; 0,10; 6,22
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 1,90; 6,50; 0,10; 6,50
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,00; 6,75; 0,10; 6,75
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,10; 7,00; 0,10; 7,00
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,20; 7,23; 0,10; 7,23
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,30; 7,44; 0,10; 7,44
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,40; 7,64; 0,10; 7,64
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,50; 7,83; 0,10; 7,83
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,60; 8,00; 0,10; 8,00
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,70; 8,16; 0,10; 8,16
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,80; 8,31; 0,10; 8,31
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 2,90; 8,44; 0,10; 8,44
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,00; 8,56; 0,10; 8,56
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,10; 8,67; 0,10; 8,67
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,20; 8,76; 0,10; 8,76
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,30; 8,76; 0,10; 8,76
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,40; 8,83; 0,10; 8,83
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,50; 8,90; 0,10; 8,90
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,60; 8,95; 0,10; 8,95
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,70; 8,98; 0,10; 8,98
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,80; 9,00; 0,10; 9,00
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 3,90; 9,01; 0,10; 9,01
Simple Physics Engine - Flat Sandy Terrain - Diagonal; 4,00; 9,01; 0,10; 9,01
