Experiment; Time; X; Y; Z
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,00; 0,00; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,10; 0,99; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,20; 1,96; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,30; 2,91; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,40; 3,84; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,50; 4,75; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,60; 5,65; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,70; 6,52; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,80; 7,37; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 0,90; 8,21; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,00; 9,02; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,10; 9,81; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,20; 10,59; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,30; 11,34; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,40; 12,08; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,50; 12,79; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,60; 13,49; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,70; 14,16; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,80; 14,82; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 1,90; 15,46; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,00; 16,08; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,10; 16,67; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,20; 17,25; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,30; 17,81; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,40; 18,35; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,50; 18,87; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,60; 19,37; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,70; 19,85; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,80; 20,31; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 2,90; 20,75; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,00; 21,17; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,10; 21,57; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,20; 21,95; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,30; 22,32; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,40; 22,66; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,50; 22,98; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,60; 23,29; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,70; 23,57; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,80; 23,83; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 3,90; 24,08; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,00; 24,30; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,10; 24,51; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,20; 24,70; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,30; 24,86; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,40; 25,01; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,50; 25,13; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,60; 25,24; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,70; 25,33; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,80; 25,40; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 4,90; 25,45; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 5,00; 25,47; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Fast x; 5,10; 25,48; 0,10; 0,00
