Experiment; Time; X; Y; Z
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,00; 0,00; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,10; 0,19; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,20; 0,36; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,30; 0,51; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,40; 0,51; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,50; 0,64; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,60; 0,75; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,70; 0,85; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,80; 0,92; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 0,90; 0,97; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 1,00; 1,01; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 1,10; 1,02; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 1,20; 1,02; 0,10; 0,00
Simple Physics Engine - Flat Sandy Terrain - Slow x; 1,30; 1,02; 0,10; 0,00
