Experiment; Time; X; Y; Z
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,00; 0,00; 0,00; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,10; 0,99; 0,08; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,20; 1,95; 0,09; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,30; 2,89; 0,02; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,40; 2,89; 0,02; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,50; 3,83; -0,06; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,60; 4,75; -0,10; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,70; 5,65; -0,06; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,80; 6,52; 0,02; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 0,90; 7,37; 0,09; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,00; 8,19; 0,09; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,10; 9,00; 0,04; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,20; 9,79; -0,04; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,30; 9,79; -0,04; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,40; 10,57; -0,09; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,50; 11,34; -0,09; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,60; 12,09; -0,05; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,70; 12,80; 0,02; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,80; 13,49; 0,08; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 1,90; 14,15; 0,10; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,00; 14,80; 0,08; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,10; 15,43; 0,03; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,20; 16,04; -0,03; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,30; 16,65; -0,08; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,40; 17,25; -0,10; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,50; 17,82; -0,09; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,60; 18,37; -0,05; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,70; 18,89; 0,00; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,80; 19,39; 0,05; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 2,90; 19,85; 0,08; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,00; 20,29; 0,10; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,10; 20,71; 0,10; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,20; 21,12; 0,08; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,30; 21,12; 0,08; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,40; 21,50; 0,05; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,50; 21,88; 0,01; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,60; 22,25; -0,03; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,70; 22,61; -0,06; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,80; 22,96; -0,08; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 3,90; 23,29; -0,10; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,00; 23,60; -0,10; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,10; 23,90; -0,09; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,20; 24,17; -0,08; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,30; 24,42; -0,07; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,40; 24,64; -0,05; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,50; 24,83; -0,03; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,60; 24,99; -0,01; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,70; 25,13; -0,00; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,80; 25,23; 0,01; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 4,90; 25,31; 0,02; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 5,00; 25,35; 0,02; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 5,10; 25,37; 0,02; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 5,20; 25,37; 0,02; 0,00
Simple Physics Engine - Gentle Hilly Terrain - Fast x; 5,30; 25,37; 0,02; 0,00
