Experiment; Time; X; Y; Z
Simple Physics Engine - Hilly Terrain - Fast x; 0,00; 0,00; 0,00; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 0,10; 0,95; 0,81; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 0,20; 1,84; 0,96; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 0,30; 2,74; 0,39; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 0,40; 2,74; 0,39; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 0,50; 3,72; -0,54; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 0,60; 4,75; -1,00; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 0,70; 5,76; -0,50; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 0,80; 6,67; 0,38; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 0,90; 7,48; 0,93; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,00; 8,25; 0,92; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,10; 9,05; 0,36; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,20; 9,93; -0,48; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,30; 9,93; -0,48; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,40; 10,86; -0,99; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,50; 11,79; -0,70; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,60; 12,63; 0,07; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,70; 13,37; 0,72; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,80; 14,03; 0,99; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 1,90; 14,67; 0,86; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,00; 15,35; 0,35; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,10; 16,11; -0,40; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,20; 16,94; -0,94; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,30; 17,78; -0,88; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,40; 18,55; -0,30; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,50; 19,21; 0,35; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,60; 19,77; 0,80; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,70; 20,27; 0,99; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,80; 20,75; 0,95; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 2,90; 21,24; 0,68; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,00; 21,80; 0,19; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,10; 22,44; -0,44; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,20; 23,15; -0,92; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,30; 23,15; -0,92; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,40; 23,87; -0,95; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,50; 24,54; -0,56; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,60; 25,12; -0,01; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,70; 25,58; 0,44; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,80; 25,95; 0,73; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 3,90; 26,25; 0,90; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,00; 26,49; 0,98; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,10; 26,70; 1,00; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,20; 26,91; 0,98; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,30; 27,13; 0,91; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,40; 27,38; 0,78; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,50; 27,69; 0,55; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,60; 28,07; 0,21; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,70; 28,53; -0,25; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,80; 29,06; -0,71; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 4,90; 29,65; -0,98; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,00; 30,23; -0,93; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,10; 30,76; -0,61; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,20; 31,19; -0,23; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,30; 31,50; 0,09; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,40; 31,71; 0,29; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,50; 31,81; 0,38; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,60; 31,81; 0,38; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,70; 31,72; 0,30; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,80; 31,54; 0,13; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 5,90; 31,29; -0,13; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,00; 30,96; -0,44; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,10; 30,56; -0,76; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,20; 30,12; -0,96; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,30; 29,67; -0,98; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,40; 29,25; -0,83; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,50; 28,92; -0,60; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,60; 28,67; -0,39; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,70; 28,54; -0,26; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,80; 28,52; -0,25; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 6,90; 28,59; -0,31; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,00; 28,74; -0,44; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,10; 28,95; -0,62; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,20; 29,21; -0,81; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,30; 29,52; -0,95; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,40; 29,83; -1,00; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,50; 30,13; -0,96; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,60; 30,38; -0,86; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,70; 30,57; -0,75; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,80; 30,66; -0,68; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 7,90; 30,67; -0,68; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,00; 30,61; -0,72; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,10; 30,51; -0,79; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,20; 30,36; -0,87; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,30; 30,19; -0,94; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,40; 30,00; -0,99; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,50; 29,82; -1,00; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,60; 29,65; -0,98; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,70; 29,53; -0,95; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,80; 29,46; -0,93; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 8,90; 29,44; -0,92; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 9,00; 29,46; -0,92; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 9,10; 29,49; -0,94; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 9,20; 29,53; -0,95; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 9,30; 29,59; -0,97; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 9,40; 29,65; -0,98; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 9,50; 29,71; -0,99; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 9,60; 29,77; -1,00; 0,00
Simple Physics Engine - Hilly Terrain - Fast x; 9,70; 29,81; -1,00; 0,00
