Experiment; Time; X; Y; Z
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,00; 0,00; 0,00; 0,00
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,10; 0,02; 0,19; 0,50
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,20; -0,77; -4,08; 0,94
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,30; -1,94; -6,06; 0,86
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,40; -2,84; -2,95; 0,19
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,50; -2,89; -2,12; -0,58
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,60; -2,20; -3,34; -1,15
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,70; -1,26; -4,92; -1,03
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,80; -0,55; -5,13; -0,21
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 0,90; -0,57; -3,99; 0,74
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,00; -1,16; -2,56; 1,29
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,10; -1,87; -4,96; 1,02
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,20; -2,37; -6,97; 0,06
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,30; -2,27; -4,48; -0,95
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,40; -1,79; -2,15; -1,35
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,50; -1,28; -6,25; -0,86
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,60; -0,99; -8,12; 0,24
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,70; -1,14; -3,67; 1,15
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,80; -1,47; -2,82; 1,28
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 1,90; -1,81; -8,37; 0,53
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,00; -1,95; -7,62; -0,61
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,10; -1,83; -2,81; -1,28
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,20; -1,62; -4,88; -1,06
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,30; -1,42; -9,85; -0,08
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,40; -1,34; -5,74; 0,94
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,50; -1,39; -3,21; 1,24
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,60; -1,50; -7,86; 0,66
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,70; -1,65; -9,15; -0,41
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,80; -1,74; -4,22; -1,13
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 2,90; -1,75; -5,22; -1,01
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,00; -1,67; -9,83; -0,15
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,10; -1,51; -6,95; 0,80
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,20; -1,39; -4,43; 1,10
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,30; -1,36; -8,13; 0,59
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,40; -1,48; -9,29; -0,37
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,50; -1,68; -5,38; -1,00
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,60; -1,81; -6,41; -0,85
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,70; -1,78; -9,76; -0,06
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,80; -1,58; -7,31; 0,75
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 3,90; -1,38; -5,81; 0,94
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,00; -1,30; -8,86; 0,40
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,10; -1,43; -8,98; -0,44
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,20; -1,68; -6,28; -0,89
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,30; -1,85; -7,78; -0,63
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,40; -1,80; -9,66; 0,12
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,50; -1,57; -7,42; 0,73
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,60; -1,34; -7,19; 0,74
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,70; -1,28; -9,47; 0,16
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,80; -1,47; -8,61; -0,53
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 4,90; -1,73; -7,22; -0,75
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,00; -1,87; -8,93; -0,37
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,10; -1,76; -9,39; 0,30
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,20; -1,50; -7,71; 0,69
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,30; -1,30; -8,46; 0,50
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,40; -1,33; -9,68; -0,08
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,50; -1,56; -8,42; -0,57
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,60; -1,79; -8,26; -0,56
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,70; -1,84; -9,61; -0,10
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,80; -1,66; -9,07; 0,43
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 5,90; -1,42; -8,34; 0,57
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,00; -1,31; -9,40; 0,23
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,10; -1,43; -9,52; -0,28
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,20; -1,66; -8,61; -0,53
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,30; -1,81; -9,21; -0,33
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,40; -1,75; -9,75; 0,13
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,50; -1,54; -8,98; 0,46
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,60; -1,37; -9,12; 0,38
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,70; -1,38; -9,81; -0,01
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,80; -1,55; -9,34; -0,37
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 6,90; -1,72; -9,14; -0,39
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,00; -1,76; -9,78; -0,09
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,10; -1,63; -9,62; 0,27
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,20; -1,46; -9,26; 0,37
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,30; -1,40; -9,73; 0,16
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,40; -1,48; -9,81; -0,18
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,50; -1,64; -9,42; -0,34
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,60; -1,72; -9,69; -0,20
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,70; -1,67; -9,91; 0,09
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,80; -1,54; -9,60; 0,28
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 7,90; -1,45; -9,69; 0,22
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,00; -1,47; -9,95; -0,02
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,10; -1,58; -9,75; -0,22
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,20; -1,66; -9,72; -0,22
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,30; -1,66; -9,95; -0,04
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,40; -1,58; -9,87; 0,16
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,50; -1,51; -9,78; 0,20
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,60; -1,50; -9,95; 0,07
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,70; -1,55; -9,95; -0,10
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,80; -1,61; -9,85; -0,17
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 8,90; -1,63; -9,95; -0,09
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,00; -1,59; -9,98; 0,05
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,10; -1,55; -9,92; 0,13
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,20; -1,53; -9,95; 0,09
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,30; -1,55; -10,00; -0,01
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,40; -1,58; -9,97; -0,08
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,50; -1,59; -9,97; -0,07
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,60; -1,58; -10,00; -0,02
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,70; -1,56; -9,99; 0,04
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,80; -1,56; -9,99; 0,04
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 9,90; -1,57; -10,00; 0,02
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 10,00; -1,57; -10,00; -0,01
Simple Physics Engine - Steep Hilly Terrain - Diagonal; 10,10; -1,57; -10,00; -0,01
