Experiment; Time; X; Y; Z
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,00; 0,00; 0,00; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,10; -0,48; -4,52; 0,19
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,20; -1,70; -9,56; 0,27
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,30; -2,79; -3,37; 0,14
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,40; -2,79; -3,37; 0,14
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,50; -3,03; -1,15; -0,05
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,60; -2,32; -7,18; -0,21
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,70; -1,08; -8,57; -0,23
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,80; -0,24; -2,36; -0,08
Simple Physics Engine - Steep Hilly Terrain - Slow z; 0,90; -0,32; -3,15; 0,10
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,00; -1,26; -9,30; 0,22
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,10; -2,41; -6,55; 0,17
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,20; -2,91; -2,31; 0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,30; -2,91; -2,31; 0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,40; -2,48; -6,11; -0,15
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,50; -1,38; -9,64; -0,20
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,60; -0,47; -4,49; -0,09
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,70; -0,38; -3,70; 0,06
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,80; -1,15; -8,98; 0,17
Simple Physics Engine - Steep Hilly Terrain - Slow z; 1,90; -2,22; -7,86; 0,14
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,00; -2,76; -3,68; 0,02
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,10; -2,43; -6,52; -0,11
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,20; -1,45; -9,80; -0,16
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,30; -0,59; -5,58; -0,08
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,40; -0,51; -4,87; 0,04
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,50; -1,22; -9,31; 0,13
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,60; -2,19; -8,09; 0,11
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,70; -2,64; -4,82; 0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,80; -2,27; -7,64; -0,09
Simple Physics Engine - Steep Hilly Terrain - Slow z; 2,90; -1,36; -9,71; -0,12
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,00; -0,65; -6,05; -0,05
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,10; -0,68; -6,28; 0,04
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,20; -1,40; -9,81; 0,10
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,30; -1,40; -9,81; 0,10
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,40; -2,24; -7,84; 0,07
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,50; -2,51; -5,93; -0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,60; -2,04; -8,90; -0,08
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,70; -1,21; -9,31; -0,08
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,80; -0,70; -6,46; -0,02
Simple Physics Engine - Steep Hilly Terrain - Slow z; 3,90; -0,91; -7,86; 0,05
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,00; -1,64; -9,95; 0,08
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,10; -2,29; -7,53; 0,04
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,20; -2,33; -7,26; -0,02
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,30; -1,76; -9,81; -0,06
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,40; -1,05; -8,68; -0,04
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,50; -0,81; -7,21; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,60; -1,19; -9,26; 0,04
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,70; -1,87; -9,54; 0,05
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,80; -2,28; -7,61; 0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 4,90; -2,08; -8,71; -0,03
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,00; -1,48; -9,95; -0,04
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,10; -0,97; -8,27; -0,02
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,20; -0,99; -8,35; 0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,30; -1,48; -9,96; 0,03
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,40; -2,03; -8,97; 0,02
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,50; -2,16; -8,31; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,60; -1,80; -9,74; -0,02
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,70; -1,26; -9,52; -0,02
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,80; -1,01; -8,49; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 5,90; -1,25; -9,48; 0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,00; -1,74; -9,85; 0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,10; -2,06; -8,82; 0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,20; -1,95; -9,28; -0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,30; -1,53; -9,99; -0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,40; -1,17; -9,19; -0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,50; -1,17; -9,20; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,60; -1,50; -9,98; 0,01
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,70; -1,88; -9,53; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,80; -1,96; -9,25; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 6,90; -1,71; -9,90; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,00; -1,36; -9,77; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,10; -1,21; -9,37; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,20; -1,38; -9,82; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,30; -1,70; -9,92; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,40; -1,88; -9,53; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,50; -1,79; -9,77; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,60; -1,52; -9,99; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,70; -1,32; -9,69; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,80; -1,35; -9,75; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 7,90; -1,55; -10,00; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,00; -1,75; -9,83; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,10; -1,77; -9,80; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,20; -1,62; -9,99; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,30; -1,44; -9,92; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,40; -1,40; -9,85; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,50; -1,50; -9,98; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,60; -1,65; -9,97; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,70; -1,71; -9,91; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,80; -1,65; -9,97; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 8,90; -1,54; -10,00; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,00; -1,48; -9,96; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,10; -1,50; -9,98; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,20; -1,57; -10,00; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,30; -1,62; -9,99; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,40; -1,61; -9,99; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,50; -1,58; -10,00; 0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,60; -1,56; -10,00; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,70; -1,56; -10,00; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,80; -1,56; -10,00; -0,00
Simple Physics Engine - Steep Hilly Terrain - Slow z; 9,90; -1,56; -10,00; -0,00
